lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,_merge,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.953,0.951,0.955,both,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,1829,149.54000000000002,93.17999999999999,100.0
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.957,,,both,38.156,0.21799999999999997,0.142,28.502999999999997,0.8900000000000001,0.868,42.757,26.281,1383,168.05,99.6,99.8
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.958,,,both,36.702,0.219,0.138,25.691000000000003,0.395,0.837,47.02900000000001,28.042,1637,165.12,100.0,100.0
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.936,,,both,40.078,0.26,0.155,27.699,1.138,-0.11099999999999999,48.625,16.282,1629,129.85999999999999,86.28,100.0
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.942,,,both,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,1520,153.5,99.825,100.0
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.955,0.953,0.958,both,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75,1986,110.16,85.42,100.0
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.964,,,both,33.284,0.188,0.111,27.403,-0.153,0.335,51.774,38.532,2134,112.53333333333335,96.2,100.0
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.965,,,both,30.897999999999996,0.21100000000000002,0.114,27.142999999999997,0.126,0.047,43.185,29.369,1684,207.21999999999997,100.0,100.0
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.951,,,both,33.371,0.18100000000000002,0.124,37.624,0.286,0.342,41.885999999999996,35.452,1793,165.64000000000001,100.0,100.0
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.954,,,both,35.033,0.228,0.128,33.668,0.035,0.467,44.311,33.091,1826,161.3,94.46000000000001,98.22
E01034474,Barking and Dagenham 015F,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.989,,,both,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.93200000000001,3195,112.7375,84.7625,94.375
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.951,,,both,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,1750,136.94,99.47999999999999,99.82000000000001
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.95,,,both,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,1791,166.21999999999997,99.86,99.86
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.958,,,both,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,1895,129.84,95.46000000000001,100.0
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.961,0.959,0.962,both,41.172,0.29,0.143,27.852,0.409,0.376,55.298,26.588,1923,114.08,98.84,99.56
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.962,,,both,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916,2132,139.85999999999999,99.28,100.0
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.974,,,both,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711,2149,144.64000000000001,99.84,100.0
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.954,,,both,40.463,0.254,0.154,28.988,0.464,0.8320000000000001,43.29,37.223,1545,141.28000000000003,94.26,100.0
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,0.956,,,both,28.166,0.171,0.104,20.596,0.158,0.183,41.045,35.136,1750,140.84,96.2,100.0
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.954,,,both,17.741,0.11199999999999999,0.078,12.848,-0.002,-0.312,32.872,20.544,1491,144.825,97.45,100.0
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.941,,,both,38.888,0.23,0.136,31.637,0.41800000000000004,0.559,45.544000000000004,44.214000000000006,1682,117.66,84.22,97.84
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.938,,,both,17.988,0.096,0.101,20.287999999999997,-0.504,-0.067,29.715,19.057,1931,148.6,99.62,100.0
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.939,,,both,29.788,0.18,0.096,26.696999999999996,0.198,0.514,42.507,31.481,1831,161.7,99.72,100.0
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.945,,,both,32.331,0.176,0.129,28.14,0.136,0.414,45.241,32.699,1635,153.1,98.1,100.0
E01034471,Barking and Dagenham 008G,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.956,0.954,0.958,both,36.877,0.22800000000000004,0.108,22.994,0.033,1.286,45.846,39.968,2791,159.78444443333333,91.26666666666667,100.0
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.972,0.97,0.973,both,31.576000000000004,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,2101,116.41,70.85000000000001,98.75
