feature,PC1,PC2,abs_PC1,abs_PC2
imd_score,0.32188775631561256,-0.1403073704717102,0.32188775631561256,0.1403073704717102
imd_employ_score,0.32066940226578444,-0.0517276872822277,0.32066940226578444,0.0517276872822277
imd_income_score,0.31996522441678243,-0.08075980643637878,0.31996522441678243,0.08075980643637878
rDERI_score_0_10,0.30111462297483244,-0.030179475987392654,0.30111462297483244,0.030179475987392654
pct_limited_a_lot,0.2808388929775678,0.09101171223099594,0.2808388929775678,0.09101171223099594
imd_edu_score,0.27928983297159465,0.13499126681348514,0.27928983297159465,0.13499126681348514
pct_no_qual,0.2788568782364803,0.2052333640757942,0.2788568782364803,0.2052333640757942
imd_health_score,0.27397710402316017,-0.11287845008621429,0.27397710402316017,0.11287845008621429
pct_disabled,0.25557781291455606,0.10916306518566084,0.25557781291455606,0.10916306518566084
pct_level4plus,-0.2312902328602105,-0.31996297180251254,0.2312902328602105,0.31996297180251254
imd_barriers_score,0.2040571982785501,-0.13038780697668245,0.2040571982785501,0.13038780697668245
imd_crime_score,0.1849904760523549,-0.2460600640183574,0.1849904760523549,0.2460600640183574
fuel_poverty_pct,0.16795158231795462,0.18581323278906806,0.16795158231795462,0.18581323278906806
pct_limited_a_little,0.1466454335507002,0.1028339055178709,0.1466454335507002,0.1028339055178709
dpi_score,-0.1307785614796384,-0.27325761521705194,0.1307785614796384,0.27325761521705194
crime_rate_per_1000_window_log1p,0.12016021157419449,-0.3645160532814705,0.12016021157419449,0.3645160532814705
bb_q_dl_core,-0.116679552212623,0.3549249627613534,0.116679552212623,0.3549249627613534
bb_q_ul_core,-0.032272145245110885,0.4358795265031082,0.032272145245110885,0.4358795265031082
bb_q_sfu_core,-0.015099582590426848,0.35831820735028974,0.015099582590426848,0.35831820735028974
