lsoa_code,PC1,PC2,quadrant
E01000011,1.770370647257171,0.38370512119046285,"Q1 (+PC1,+PC2)"
E01000046,2.264488263939489,2.050271880712665,"Q1 (+PC1,+PC2)"
E01000051,0.7267277895501445,-3.2732662222263973,"Q4 (+PC1,-PC2)"
E01000077,4.303823119788103,1.4194154893107567,"Q1 (+PC1,+PC2)"
E01000083,4.036616238406661,2.3712209247824476,"Q1 (+PC1,+PC2)"
E01032580,3.3868038994165257,0.1605111275428136,"Q1 (+PC1,+PC2)"
E01000006,-0.35060110880720363,0.6775712749888895,"Q2 (-PC1,+PC2)"
E01000009,2.7875272167589267,-0.08401727043405541,"Q4 (+PC1,-PC2)"
E01000022,2.770401716506425,1.0850720273175811,"Q1 (+PC1,+PC2)"
E01000074,3.3733645380189263,2.084250660903185,"Q1 (+PC1,+PC2)"
E01000084,4.4599911500808345,1.166542141793337,"Q1 (+PC1,+PC2)"
E01000089,0.9292012256165274,0.9670551275714633,"Q1 (+PC1,+PC2)"
E01000097,4.772124158528767,0.885348094250173,"Q1 (+PC1,+PC2)"
E01000113,0.6529870797672415,0.31581204457141276,"Q1 (+PC1,+PC2)"
E01034470,0.837017771977897,1.1502969645663532,"Q1 (+PC1,+PC2)"
E01000012,1.54531025854847,-2.861710120246691,"Q4 (+PC1,-PC2)"
E01000017,4.316239816565812,1.581889725206283,"Q1 (+PC1,+PC2)"
E01000024,2.5152206488900717,1.6551066817826723,"Q1 (+PC1,+PC2)"
E01000038,0.9000215299630597,1.891025351740337,"Q1 (+PC1,+PC2)"
E01000040,3.453371101216162,1.2616967234239709,"Q1 (+PC1,+PC2)"
E01000041,2.5998291181001725,1.5948257419369254,"Q1 (+PC1,+PC2)"
E01000043,2.1618072057982642,0.23044158888891259,"Q1 (+PC1,+PC2)"
E01000050,2.597812665841988,0.12335246903567511,"Q1 (+PC1,+PC2)"
E01000058,2.578114748739553,-0.2906216624967352,"Q4 (+PC1,-PC2)"
E01000076,4.2811801459616925,2.236614782755208,"Q1 (+PC1,+PC2)"
E01000081,2.123395137375,1.8214858552003095,"Q1 (+PC1,+PC2)"
E01000082,2.3854132716290373,2.118622214085601,"Q1 (+PC1,+PC2)"
E01000085,3.5357270730101886,1.3162621389623224,"Q1 (+PC1,+PC2)"
E01000086,3.9965375570798614,1.4762009073273512,"Q1 (+PC1,+PC2)"
E01000025,3.3299711390635034,1.351045687522215,"Q1 (+PC1,+PC2)"
E01000028,4.426876929463883,0.7696188195756649,"Q1 (+PC1,+PC2)"
E01000033,4.6957950141450135,2.057327180875147,"Q1 (+PC1,+PC2)"
E01000042,4.220426227007263,0.17943331131446022,"Q1 (+PC1,+PC2)"
E01000052,2.616264259581648,0.5474105843257211,"Q1 (+PC1,+PC2)"
