lsoa_code,PC1,PC2
E01000011,2.9101198291674386,5.452695754499197
E01000046,3.4757185115768356,2.452472956723893
E01000051,-0.7772320548706838,2.8955823512669854
E01000077,5.17406353770878,2.2537312040545787
E01000083,5.645487343069054,0.9814507875707754
E01032580,4.577688199409335,2.194426886348471
E01000006,0.7009131789468285,3.8501546556900017
E01000009,3.7130516283699473,3.0397589881042943
E01000022,3.4628936704851094,2.9718035895746007
E01000074,4.410410638803111,2.16043114751083
E01000084,5.653947135198676,2.1491890665449755
E01000089,1.8097821997368357,5.090746307504718
E01000097,5.787188546707644,1.7602162486914834
E01000113,1.2848384476783463,3.6420610256891077
E01034470,1.8562068312766584,3.5320846097806924
E01000012,1.517379786726825,2.6257927642202827
E01000017,5.429322298815107,0.9600536867508898
E01000024,3.8166346682810954,2.555477890981438
E01000038,1.954712856747302,0.984422041966585
E01000040,4.677242631360548,3.6947350581337517
E01000041,3.674340584518171,3.5161602859229686
E01000043,3.1324367335261996,2.5528100197337964
E01000050,2.9620455030482007,2.6479774637560363
E01000058,3.5688543770513568,2.0077363137643767
E01000076,5.854662929321386,1.9910709475282322
E01000081,3.155371989950965,2.7812478546383104
E01000082,3.4952147526469384,1.8195848986480259
E01000085,4.845634361670249,3.005448604215637
E01000086,5.088642443709528,1.2254349900492114
E01000025,4.289966847527274,2.194681644611801
E01000028,5.060459231045382,1.084993940231826
E01000033,5.982626236361793,0.6903415800514782
E01000042,4.87803572999614,1.4371369241182976
E01000052,3.551903221067998,4.025196411740468
E01000055,3.523413582588838,2.2668800018636843
E01000063,3.8693428467735815,1.6763836603672007
E01000078,5.156221129800354,1.9340958620969695
E01034474,-1.4083781357198761,3.043038426090401
E01000016,3.426276770162727,3.369341770405645
E01000018,4.168896948986082,2.541031966986469
E01000044,2.661428637930144,3.817428593419552
E01000049,4.117351661202668,3.4421615608524117
E01000066,1.8612248148618715,3.5307730533565724
E01000067,1.1137039301015996,2.5731034420513517
E01000101,5.282611935725249,0.9846223786320021
E01000108,1.957061082054879,2.6043469015857093
E01000110,0.050435747870367115,2.6958995840357414
E01000021,4.826490314619962,1.9039363058563663
E01000037,0.9108235517507549,1.5925325550111318
E01000054,3.4690982736855216,2.4660103247205893
E01000059,4.970946116800266,0.8362543905383317
E01034471,1.5140000722454794,2.9984959172914647
E01000007,-0.33124481530779165,2.099883869397695
E01000008,2.8304398034585665,1.978435297883269
E01000057,4.0564951069125454,2.501198098986617
E01000062,2.8609965226439855,2.551037302472669
E01000064,4.638557683790428,0.9224296148970182
E01000065,6.2424122139162,-0.663338102998915
E01000099,2.1324883829204833,2.505977402670618
E01000104,3.3162963143028725,1.1985571506857968
E01000106,4.580146415335814,1.3401850099429813
E01000114,0.6738579944331837,4.3832598093872255
E01000019,3.963862376323281,2.6791202704836206
E01000053,4.834835636195208,0.7403778519844972
E01000100,4.448587046117338,1.9770675207643198
E01033587,-0.9424752272761685,2.265634812820466
E01034479,2.7556708556427534,3.0143539843631797
E01000020,5.281079734309788,0.8346822039205486
E01000069,-0.2865508959874091,3.8347903558246483
E01000075,4.390714294654398,2.6911239794234665
E01000088,3.2276272220676328,2.452496606006585
E01000091,4.867637209613579,0.7779927704396972
E01000102,5.523424426128806,1.635162988335512
E01000013,5.225819117361525,2.1688965225796255
E01000015,2.7292566299087784,3.0640219248132285
E01000068,2.038352731132544,2.46927141951174
E01000045,4.012120808203577,2.155945491610272
E01000056,5.458740386516128,0.23477902295802178
E01000071,0.21962241885298656,2.6144377843785596
E01000079,4.380715992574899,2.037713962834792
E01000105,6.0712981320507975,0.29123570493448353
E01000035,3.5942806163676266,1.7059765054239324
E01000073,4.792107961832194,2.7686896244316257
E01000087,3.6412890428051203,3.338166897717144
E01000098,5.565012807956649,0.7587290260260028
E01000032,3.3822596168127808,1.3343384592715966
E01000072,5.290527521238654,1.8390480760364496
E01000080,4.520171084272473,1.6021053241484686
E01000093,5.4758508426262145,1.2957619478255267
E01000111,3.509131081532201,2.287651837547085
E01000112,0.8487717862578629,2.5911411733511684
E01000014,4.812017916003622,1.9896313882298393
E01000029,2.8704972474154147,1.2598701822947356
E01000070,1.0816913328099924,2.043735657949279
E01000061,5.822235030165108,-1.4107275160655932
E01000103,2.6531032467032953,2.4558344012513786
E01000036,1.441108241525682,2.370994802141274
E01000107,4.075645922427199,1.282608672305489
E01000096,3.9041440609602116,1.4492306161678148
E01000030,4.342709735490266,0.6774983687319612
E01034475,3.735774236454339,3.2180626971582758
E01000031,1.2541942911465063,1.225810220039401
E01000094,-1.1762364354879309,2.6710692777330567
E01000060,4.227647265334932,1.0856623800277136
E01000034,6.492069313141996,-1.7389264530470718
E01000027,5.409560798611609,0.00618727810806263
E01000039,1.394188175320853,0.5851497762964809
E01000090,2.699584177487609,4.6002358749706
E01000095,1.9861369395575854,2.02328754008874
E01033918,-4.4426694566658185,1.1662042125170913
E01000133,4.191067626942063,0.9502296602173825
E01000181,-4.590473141577549,-1.5187034831689379
E01000185,2.686576554288224,-3.212892003306373
E01000189,-1.170485084093939,0.5592619061234718
E01000226,3.6350618990717316,1.6905464814608295
E01000306,-0.33030309826797266,4.732475326231544
E01000312,2.1636670053219285,1.3204849154088343
E01033916,-0.44993506481935525,2.2960524870313628
E01033923,-0.40176329386053344,0.032772377544775466
E01000126,2.265740408087396,0.861140144180095
E01000134,1.423172274755305,2.3235156000738773
E01000137,2.0624504244814155,0.041381807588114786
E01000145,-1.1269681314082785,0.6520992508116501
E01000151,5.236753762363677,-0.03051686518578601
E01000154,1.8493908012501008,0.7964309034167811
E01000165,-1.5447095656659222,-0.10484391059075583
E01000217,-2.4636895721191165,3.271977701612394
E01000219,0.4235714672386696,3.5401775925219945
E01000236,-2.3272130007470286,2.113634028662513
E01000140,-2.04663651244306,-0.4323629584449683
E01000143,2.7545089228709423,-0.18274154875049048
E01000147,-0.6199755222343228,4.761881079396704
E01000182,-4.050955745091516,-2.754013155397951
E01000216,-2.8826543462012943,1.0034127923395122
E01000224,0.8523563124550559,2.8937080828652184
E01000238,-1.7468390022376663,3.4549377285297305
