lsoa_code,region,lad_name,dpi_score,dpi_ci_upper,dpi_ci_lower
E01000146,London,Barnet,0.96,,
E01000147,London,Barnet,0.967,,
E01000148,London,Barnet,0.973,,
E01000150,London,Barnet,0.969,,
E01000151,London,Barnet,0.954,,
E01000152,London,Barnet,0.976,,
E01000153,London,Barnet,0.941,,
E01000154,London,Barnet,0.947,,
E01000155,London,Barnet,0.984,,
E01000156,London,Barnet,0.971,,
E01000157,London,Barnet,0.962,,
E01000158,London,Barnet,0.966,,
E01000159,London,Barnet,0.971,,
E01000160,London,Barnet,0.981,,
E01000161,London,Barnet,0.98,,
E01000162,London,Barnet,0.954,,
E01000163,London,Barnet,0.955,,
E01000164,London,Barnet,0.951,,
E01000165,London,Barnet,0.966,,
E01000166,London,Barnet,0.947,,
E01000167,London,Barnet,0.921,,
E01000168,London,Barnet,0.933,,
E01000169,London,Barnet,0.962,,
E01000170,London,Barnet,0.955,,
E01000171,London,Barnet,0.969,,
E01000172,London,Barnet,0.956,,
E01000173,London,Barnet,0.96,,
E01000174,London,Barnet,0.953,,
E01000175,London,Barnet,0.951,,
E01000176,London,Barnet,0.912,,
E01000177,London,Barnet,0.977,,
E01000178,London,Barnet,0.962,,
E01000179,London,Barnet,0.966,,
E01000180,London,Barnet,0.925,,
E01000181,London,Barnet,0.97,,
E01000182,London,Barnet,0.957,,
E01000183,London,Barnet,0.973,,
E01000184,London,Barnet,0.956,,
E01000185,London,Barnet,0.933,,
E01000186,London,Barnet,0.966,,
E01000187,London,Barnet,0.945,,
E01000188,London,Barnet,0.982,,
E01000189,London,Barnet,0.974,,
E01000190,London,Barnet,0.956,,
E01000191,London,Barnet,0.965,,
E01000192,London,Barnet,0.957,,
E01000193,London,Barnet,0.963,,
E01000194,London,Barnet,0.952,,
E01000195,London,Barnet,0.956,,
E01000196,London,Barnet,0.961,,
E01000197,London,Barnet,0.979,,
E01000198,London,Barnet,0.979,,
E01000199,London,Barnet,0.957,,
E01000200,London,Barnet,0.97,,
E01000201,London,Barnet,0.973,,
E01000202,London,Barnet,0.979,,
E01000203,London,Barnet,0.966,,
E01000204,London,Barnet,0.963,,
E01000205,London,Barnet,0.944,,
E01000206,London,Barnet,0.965,,
E01000207,London,Barnet,0.959,,
E01000208,London,Barnet,0.975,,
E01000209,London,Barnet,0.941,,
E01000210,London,Barnet,0.97,,
E01000211,London,Barnet,0.963,,
E01000212,London,Barnet,0.962,,
E01000213,London,Barnet,0.971,,
E01000214,London,Barnet,0.958,,
E01000215,London,Barnet,0.966,,
E01000216,London,Barnet,0.952,,
E01000217,London,Barnet,0.963,,
E01000218,London,Barnet,0.934,,
E01000219,London,Barnet,0.948,,
E01000220,London,Barnet,0.949,,
E01000221,London,Barnet,0.952,,
E01000222,London,Barnet,0.967,,
E01000223,London,Barnet,0.967,,
E01000224,London,Barnet,0.966,,
E01000225,London,Barnet,0.944,0.946,0.941
E01000226,London,Barnet,0.97,,
E01000227,London,Barnet,0.976,,
E01000228,London,Barnet,0.976,,
E01000229,London,Barnet,0.972,,
E01000230,London,Barnet,0.956,,
E01000231,London,Barnet,0.957,,
E01000232,London,Barnet,0.952,,
E01000233,London,Barnet,0.955,,
E01000234,London,Barnet,0.974,,
E01000235,London,Barnet,0.964,,
E01000236,London,Barnet,0.975,,
E01000237,London,Barnet,0.972,,
E01000238,London,Barnet,0.971,,
E01000239,London,Barnet,0.98,,
E01000240,London,Barnet,0.961,,
E01000241,London,Barnet,0.954,,
E01000242,London,Barnet,0.963,,
E01000243,London,Barnet,0.965,,
E01000244,London,Barnet,0.955,,
E01000245,London,Barnet,0.958,,
E01000246,London,Barnet,0.945,,
E01000247,London,Barnet,0.966,,
E01000248,London,Barnet,0.964,,
E01000249,London,Barnet,0.943,,
E01000250,London,Barnet,0.955,,
E01000251,London,Barnet,0.946,,
E01000252,London,Barnet,0.945,,
E01000253,London,Barnet,0.96,,
E01000254,London,Barnet,0.955,,
E01000255,London,Barnet,0.97,,
E01000256,London,Barnet,0.96,,
E01000257,London,Barnet,0.965,,
E01000258,London,Barnet,0.969,,
E01000259,London,Barnet,0.963,,
E01000260,London,Barnet,0.975,,
E01000261,London,Barnet,0.923,,
E01000262,London,Barnet,0.983,,
E01000263,London,Barnet,0.963,,
E01000264,London,Barnet,0.982,,
E01000265,London,Barnet,0.967,,
E01000266,London,Barnet,0.959,,
E01000267,London,Barnet,0.949,,
E01000268,London,Barnet,0.98,,
E01000269,London,Barnet,0.967,,
E01000270,London,Barnet,0.938,,
E01000271,London,Barnet,0.967,,
E01000272,London,Barnet,0.949,,
E01000273,London,Barnet,0.959,,
E01000274,London,Barnet,0.966,,
E01000275,London,Barnet,0.96,,
E01000276,London,Barnet,0.978,,
E01000277,London,Barnet,0.966,,
E01000278,London,Barnet,0.949,,
E01000279,London,Barnet,0.96,,
E01000280,London,Barnet,0.965,,
E01000281,London,Barnet,0.973,,
E01000282,London,Barnet,0.96,,
E01000283,London,Barnet,0.967,,
E01000284,London,Barnet,0.962,,
E01000285,London,Barnet,0.953,,
E01000286,London,Barnet,0.949,,
E01000287,London,Barnet,0.946,,
E01000288,London,Barnet,0.945,,
E01000289,London,Barnet,0.942,,
E01000290,London,Barnet,0.913,,
E01000291,London,Barnet,0.952,,
E01000292,London,Barnet,0.929,,
E01000293,London,Barnet,0.962,,
E01000294,London,Barnet,0.936,,
E01000295,London,Barnet,0.952,,
E01000296,London,Barnet,0.968,,
E01000297,London,Barnet,0.965,,
E01000298,London,Barnet,0.967,,
E01000299,London,Barnet,0.961,,
E01000300,London,Barnet,0.959,,
E01000301,London,Barnet,0.961,,
E01000302,London,Barnet,0.962,,
E01000303,London,Barnet,0.97,,
E01000304,London,Barnet,0.975,,
E01000305,London,Barnet,0.971,,
E01000306,London,Barnet,0.971,,
E01000307,London,Barnet,0.954,,
E01000308,London,Barnet,0.959,,
E01000309,London,Barnet,0.97,,
E01000310,London,Barnet,0.958,,
E01000311,London,Barnet,0.96,,
E01000312,London,Barnet,0.968,,
E01000313,London,Barnet,0.967,,
E01000314,London,Barnet,0.982,,
E01000315,London,Barnet,0.956,,
E01000316,London,Barnet,0.972,,
E01000317,London,Barnet,0.972,,
E01000318,London,Barnet,0.969,,
E01000319,London,Barnet,0.962,,
E01000320,London,Barnet,0.961,,
E01000321,London,Barnet,0.959,,
E01000322,London,Barnet,0.953,,
E01000323,London,Barnet,0.954,,
E01000324,London,Barnet,0.963,,
E01000325,London,Bexley,0.956,,
E01000326,London,Bexley,0.945,,
E01000327,London,Bexley,0.915,,
E01000328,London,Bexley,0.931,,
E01000329,London,Bexley,0.949,,
E01000330,London,Bexley,0.903,,
E01000331,London,Bexley,0.957,,
E01000332,London,Bexley,0.941,,
E01000333,London,Bexley,0.943,,
E01000334,London,Bexley,0.938,,
E01000335,London,Bexley,0.965,,
E01000336,London,Bexley,0.955,,
E01000337,London,Bexley,0.966,,
E01000338,London,Bexley,0.963,,
E01000339,London,Bexley,0.928,,
E01000340,London,Bexley,0.935,,
E01000341,London,Bexley,0.913,,
E01000342,London,Bexley,0.949,,
E01000343,London,Bexley,0.951,,
E01000344,London,Bexley,0.935,,
E01000345,London,Bexley,0.955,,
E01000346,London,Bexley,0.951,,
E01000347,London,Bexley,0.936,,
E01000348,London,Bexley,0.954,,
E01000349,London,Bexley,0.938,,
E01000350,London,Bexley,0.958,,
E01000351,London,Bexley,0.932,,
E01000352,London,Bexley,0.948,,
E01000353,London,Bexley,0.928,,
E01000354,London,Bexley,0.937,,
E01000355,London,Bexley,0.924,,
E01000356,London,Bexley,0.929,,
E01000357,London,Bexley,0.939,,
E01000358,London,Bexley,0.939,,
E01000359,London,Bexley,0.936,,
E01000360,London,Bexley,0.939,,
E01000361,London,Bexley,0.944,,
E01000362,London,Bexley,0.955,,
E01000363,London,Bexley,0.946,,
E01000364,London,Bexley,0.935,,
E01000365,London,Bexley,0.943,,
E01000366,London,Bexley,0.944,,
E01000367,London,Bexley,0.96,,
E01000368,London,Bexley,0.938,,
E01000369,London,Bexley,0.939,,
E01000370,London,Bexley,0.915,,
E01000371,London,Bexley,0.942,,
E01000372,London,Bexley,0.953,,
E01000373,London,Bexley,0.965,0.967,0.963
E01000374,London,Bexley,0.94,,
E01000375,London,Bexley,0.957,,
E01000376,London,Bexley,0.944,,
E01000377,London,Bexley,0.926,,
E01000378,London,Bexley,0.948,,
E01000379,London,Bexley,0.92,,
E01000380,London,Bexley,0.93,,
E01000381,London,Bexley,0.948,,
E01000382,London,Bexley,0.952,,
E01000383,London,Bexley,0.955,,
E01000384,London,Bexley,0.934,,
E01000385,London,Bexley,0.949,,
E01000386,London,Bexley,0.927,,
E01000387,London,Bexley,0.931,,
E01000388,London,Bexley,0.913,,
E01000389,London,Bexley,0.944,,
E01000390,London,Bexley,0.935,,
E01000391,London,Bexley,0.942,,
E01000392,London,Bexley,0.96,,
E01000393,London,Bexley,0.968,,
E01000394,London,Bexley,0.928,,
E01000395,London,Bexley,0.955,,
E01000396,London,Bexley,0.953,,
E01000398,London,Bexley,0.932,,
E01000399,London,Bexley,0.926,,
E01000400,London,Bexley,0.945,,
E01000401,London,Bexley,0.945,,
E01000402,London,Bexley,0.953,,
E01000403,London,Bexley,0.934,,
E01000404,London,Bexley,0.989,,
E01000405,London,Bexley,0.968,,
E01000406,London,Bexley,0.967,,
E01000407,London,Bexley,0.937,,
E01000408,London,Bexley,0.963,,
E01000409,London,Bexley,0.946,,
E01000410,London,Bexley,0.959,,
E01000411,London,Bexley,0.949,,
E01000412,London,Bexley,0.947,,
E01000413,London,Bexley,0.919,,
E01000414,London,Bexley,0.944,,
E01000415,London,Bexley,0.946,,
E01000416,London,Bexley,0.963,,
E01000417,London,Bexley,0.928,,
E01000418,London,Bexley,0.947,,
E01000419,London,Bexley,0.928,,
E01000420,London,Bexley,0.928,,
E01000421,London,Bexley,0.927,,
E01000422,London,Bexley,0.957,,
E01000423,London,Bexley,0.928,,
E01000424,London,Bexley,0.943,,
E01000425,London,Bexley,0.946,,
E01000426,London,Bexley,0.955,,
E01000427,London,Bexley,0.921,,
E01000428,London,Bexley,0.934,,
E01000429,London,Bexley,0.949,,
E01000430,London,Bexley,0.961,,
E01000431,London,Bexley,0.942,,
E01000432,London,Bexley,0.974,,
E01000433,London,Bexley,0.956,,
E01000434,London,Bexley,0.943,,
E01000435,London,Bexley,0.935,,
E01000436,London,Bexley,0.956,,
E01000437,London,Bexley,0.94,,
E01000438,London,Bexley,0.943,,
E01000439,London,Bexley,0.941,,
E01000440,London,Bexley,0.938,,
E01000441,London,Bexley,0.954,,
E01000442,London,Bexley,0.939,,
E01000443,London,Bexley,0.926,,
