k,silhouette,calinski_harabasz,davies_bouldin,inertia
2,0.2965034305098926,2281.3846571537306,1.2980667359541846,83938.76143662681
3,0.2363577934875316,1652.4933707231528,1.4894060259411166,73346.01350029964
4,0.2028031791851888,1460.5745101437049,1.5149119567690035,64747.76666636592
5,0.21669646784142912,1339.7369376225517,1.3784253035106473,58518.546997274985
6,0.22066829835246202,1262.2676458678136,1.2254558188238172,53499.99939966686
7,0.19928686062739998,1160.0442350226713,1.2778325875324519,50543.62605731904
8,0.20420042622528387,1088.4088334485778,1.2656730468611503,47858.41821203915
9,0.20755253005391577,1046.5903791405601,1.2089546418897268,45114.502655946446
10,0.19391751014491596,1008.9462138926089,1.2184459870708284,42808.806577669224
