lsoa_code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,cluster
E01000011,2.9101198291674386,5.452695754499197,0.8851846763193479,-0.6479006634508158,0.49127725662971966,1.4032763185635453,-0.11013800807822494,-0.4594330125601819,0.9041530632999442,0.20587751260280285,0.5825745259332811,0.6149072601190566,0.5434988921421758,-0.28613965582030737,0.23631923495403132,1
E01000046,3.4757185115768356,2.452472956723893,-1.091539271119227,-0.5433944421973584,1.0814135094334438,-0.5650728831995332,0.6163059619751333,-0.8436361753776958,0.9310952847901545,-0.5143107331458201,0.40236859369398376,-0.05413220800404482,0.49569677636626014,0.20743360380020098,-0.7122921777179707,1
E01000051,-0.7772320548706838,2.8955823512669854,3.5743817112465233,-2.0506815994794008,-1.3941450699285205,-1.1494851284957073,-4.007941123967845,1.5504561430184938,0.25042994510253597,0.2173185777113152,0.5486207205658317,-0.0840445305937899,-0.6388532975141265,1.147586873434934,-0.3878760901933663,1
E01000077,5.17406353770878,2.2537312040545787,-0.1751346989957707,-0.9953198543603637,1.4385024976620822,0.2930578589759627,-0.9774940623373597,-0.7466357961270323,0.38181884477885364,-0.2307398103460751,0.9768555303334153,-0.31060681902827075,0.13455476773250388,0.3277073815649727,-0.3106794490211725,1
E01000083,5.645487343069054,0.9814507875707754,-1.2790709803260552,-0.12968579925873644,1.7679394692833317,0.48254142321423943,1.0157001047693652,-1.0972202035776937,0.26285703104930197,-0.037518991958050224,0.5130488710528739,0.51738021980768,0.6047430613656855,0.3804249313876257,-0.6442156698396163,4
E01032580,4.577688199409335,2.194426886348471,0.2602511374927136,-0.031873026822920855,0.9276362644632403,1.1861418410365214,-0.5532509531902325,-0.1028334266871657,1.0111966040702975,1.422027217791148,0.5339122770634583,0.3313194905093094,-0.22478278624994252,0.31840141366606983,0.563303664261107,1
E01000006,0.7009131789468285,3.8501546556900017,-0.48868019045772143,-0.1697706547626993,-0.5888854444909782,-0.27853231007026874,0.8817837129674926,-0.12862403530302635,1.1780528736328493,0.14165275959011486,0.3530606128175179,0.2986763833020573,0.5256443810625872,0.051953608671717645,-0.3402055936197046,1
E01000009,3.7130516283699473,3.0397589881042943,1.036720991804012,-0.1646382069233704,0.4152708374507934,0.29306339806944753,-0.5738652113172915,0.4695552666155575,0.14402045883209125,-0.07555788103726833,-0.5340999625032915,0.9246919961724029,-0.11565053781394316,-0.35403923282892086,0.5178598719901191,1
E01000022,3.4628936704851094,2.9718035895746007,-0.2587339409801773,-0.7841073739804038,0.9379053153259662,0.9535349553456418,-1.291785203595765,-0.42632115954095323,0.36733273701723657,-0.3169116680810128,0.951980074237844,0.10554897071730089,-0.3037393968652594,0.17806628038674563,-0.11318082939419725,1
E01000074,4.410410638803111,2.16043114751083,-1.1835267766611761,-0.2068442916317526,1.4642708191263645,-0.1494593827120697,-0.5916551059153536,-0.781617012783321,0.7192886263192935,-0.6531275481795783,1.0097418699387255,0.34007428281617186,-0.20127456163700982,1.0893203808629819,-0.3213348222481777,1
E01000084,5.653947135198676,2.1491890665449755,-0.037816913944814255,-0.1787865086909388,2.0047637669186544,0.649999094777383,-1.190697515367865,-0.4203659714936787,-0.11739486772376392,1.028176925202311,0.20972704593748123,0.3506929803121173,-0.18019441004025605,0.7285686346786497,-0.5774870688801095,4
E01000089,1.8097821997368357,5.090746307504718,0.4690845564555019,-0.6431867581517602,1.02435312075338,0.2244599206740698,0.019166237905052317,-0.6503394726417847,0.3114153903653505,-0.033375632714506984,1.1762899091907573,0.12581250435470884,0.6198797639486574,-0.08741637914286579,0.05833027884298834,1
E01000097,5.787188546707644,1.7602162486914834,-0.20821247196190662,-0.4547856523535713,0.17787417434537464,0.8102021434616552,0.09639037642649602,-0.18791492640990226,0.37091179715718486,-0.3005541759691008,1.1450958218704212,0.19871144433228116,-0.23207460003676986,-0.27525815262763914,0.3868413281175622,4
E01000113,1.2848384476783463,3.6420610256891077,0.20702695355035802,-0.4886716916751155,0.4746403031899373,0.9464733637911246,-0.12082549773625463,-0.008429087400007461,0.4719237924227851,0.6003031334992881,0.5288895797258731,0.44313510922249133,-0.6338368605065919,0.0012527255396943384,0.18944650045682335,1
E01034470,1.8562068312766584,3.5320846097806924,-0.37556106371498527,-0.4493684314121628,0.957873211146686,0.18672405449840138,0.34104298561175905,-1.207089203992134,-0.39889909080565866,0.7447054140489378,0.41595352549986053,0.28130360592277015,-0.1617291720811579,-0.48234580435264574,-0.9040868892147771,1
E01000012,1.517379786726825,2.6257927642202827,2.7749120650316317,-1.3108905844315744,-2.6730457792859283,-1.34802645888385,-0.46707731830062943,1.2132517713338138,0.698137366079194,0.6621802048189691,0.5894020966869473,0.7349830241898855,1.224669593915939,0.49447530080440494,-0.855418927526942,1
E01000017,5.429322298815107,0.9600536867508898,-0.8814259607921557,-0.7203363875640777,1.725718246238605,0.2515679105387985,-0.35386454322124533,-1.0211141567022752,1.2369996930636622,-0.016906643678055663,0.8377333643352506,0.1180545036022411,-0.19937210153797427,0.09141980243095127,-0.15326906674410157,4
E01000024,3.8166346682810954,2.555477890981438,-0.9117638775749047,-0.11566563962737474,1.2913761064956821,0.7443768015720653,-0.024062611815144373,-0.9173651921945387,1.0365251691878106,0.3591565851891243,0.6847305087662583,0.3135069210117542,0.4548997831830465,0.4142829075991674,-0.15718753404444313,1
E01000038,1.954712856747302,0.984422041966585,-1.7094738485059646,1.158033231756152,1.0032267104409431,0.15823434371049264,-0.851995917591567,-0.11910155634628299,-0.8371223637901551,0.19555634572387412,-0.12312062039146023,0.11962516515559508,0.6890719449023187,0.0006537396532763891,0.20199857709385302,1
E01000040,4.677242631360548,3.6947350581337517,-0.11473001274604835,-0.1412959455141603,0.5872928189056414,0.013467015281103473,-0.850823647941574,0.0713590516502713,-0.2413053318461918,-0.38162747719589285,0.03145133334628154,0.23919339688181288,0.2042587219085409,0.11980086433396295,-0.10991788864009058,1
E01000041,3.674340584518171,3.5161602859229686,-0.4324985708026832,-0.7526989610091744,1.1657904470780587,0.10445139339375277,-0.05649011855035341,-0.8137481675662317,0.3456406714116564,0.07394429448330937,1.2313907335807692,0.4125389330870126,0.15375507918192932,0.21163726828640972,-0.5232440732126832,1
E01000043,3.1324367335261996,2.5528100197337964,0.00400200067946318,0.04094428334916246,-0.4091303586453134,0.8682902950637982,-0.457299141655551,-2.017238294767725,-0.07370823847769521,0.3252832160480346,0.21984337357123782,0.2424123625163134,0.14679439870737457,0.1495962759672837,-0.608221052906516,1
E01000050,2.9620455030482007,2.6479774637560363,0.8025867321890805,-1.2480739799872544,0.019215731394414945,1.0524787295524614,0.01163437437575442,0.03549162432152749,-0.16541873891377892,-0.7963540612255686,0.9095939977914644,0.6441334279584305,-0.2890961672439281,-0.06636957758916621,-0.40558003922568037,1
E01000058,3.5688543770513568,2.0077363137643767,0.3490432930061092,-0.20289765632544943,-0.38398275628111367,-0.5584909143373568,0.8080693693233734,-2.5063619740843013,0.6279730563288941,0.7285971057614736,0.7980974611951273,-0.028609832064878327,-0.5321598667375647,-0.011846113284101071,0.10596067138123337,1
E01000076,5.854662929321386,1.9910709475282322,-1.1804772798221932,-0.25743298938993514,1.3867597076324265,-0.4709319820500101,0.998240965776557,-0.8893272731285388,0.8509098850914498,0.032544598141089155,0.7173271612141074,0.2887536676760872,0.21350558660658098,0.5275187072733953,-0.6588162006690822,4
E01000081,3.155371989950965,2.7812478546383104,-0.8861065358677191,-0.4984816869702292,1.008488365503555,-0.059512357161820614,0.09136783549598014,-0.7112428014931195,0.08370377477143698,-0.27279089385059435,1.2653816877033648,0.14866987734066045,0.1881332283308931,0.2347393769513781,-0.4684261306364042,1
E01000082,3.4952147526469384,1.8195848986480259,-1.1745161667474393,0.2794583505398221,0.8132742322372334,-0.1686607842481116,0.5550410735466446,-0.5809810671664588,0.36430196403511805,-0.7959876722680955,0.43207894963466104,0.19637623015742442,0.6288838563263938,0.982591775982091,-0.37642492924480625,1
E01000085,4.845634361670249,3.005448604215637,-0.10598363857961472,-0.318677482518327,1.158851816957599,0.6300379716747273,0.23560529782659514,-0.4324774742031819,-0.06890678349327481,0.5426675883986428,0.18029405525446413,0.45128533259027503,-0.054392060373965136,0.6794736671317199,-0.910795296688257,1
E01000086,5.088642443709528,1.2254349900492114,-0.845834677195902,-0.6651186978349732,1.88755953298765,0.34891187472334206,-0.7350595139028058,-0.9258204601224723,0.43631077123247103,0.8869166305188558,1.0210714635182976,0.3348935141305678,-0.39538182742082695,0.2477510420699384,-0.4869482275434881,4
E01000025,4.289966847527274,2.194681644611801,-0.5419561853845284,-0.8225513150467186,1.3087657409206375,-0.4472459112112693,-0.6571575107880125,-0.4809420719110484,0.12412599734068792,0.33327295578256566,0.6420654644980807,0.6063303190626192,-0.17899444968088038,-0.18993134277458742,-0.6477922198579734,1
E01000028,5.060459231045382,1.084993940231826,-0.4505620998748356,-0.5746290139663298,-0.2676176299418968,-0.9329547994806766,-1.4567311856465495,0.4035987070228217,0.9186715983616927,-1.6471709405629156,0.12182630234759992,0.07628058064905778,-0.271446704824215,0.4718426309356769,0.21472151318130583,4
E01000033,5.982626236361793,0.6903415800514782,-1.6010173583399674,-0.08271649568451524,1.1394927851771517,-0.05435425188402251,-0.3362395828137054,-0.8189672823133524,1.1158992447435363,-0.32406689040635533,1.020662639612292,1.266964396585688,0.040229592392008594,0.6565409734737648,-0.25283186040160005,4
E01000042,4.87803572999614,1.4371369241182976,0.43333983212307503,-1.0680759606569117,-0.13476159326588635,-0.8361171905665019,-0.026986121151226446,0.24056687644978927,1.041517501562008,-0.602144792279761,1.0450742305588014,0.7086211548691698,-0.14541927609836358,1.0001206870796167,-0.05710547967739583,4
