cluster,Q1,Q2,Q3,Q4
1,0.017699115044247787,0.11328125,0.22265625,0.21914110429447853
2,0.008849557522123894,0.1796875,0.01171875,0.2392638036809816
3,0.022123893805309734,0.1015625,0.1484375,0.22552147239263803
4,0.9469026548672567,0.60546875,0.61328125,0.09423312883435583
5,0.0,0.0,0.0,0.22085889570552147
6,0.004424778761061947,0.0,0.00390625,0.00098159509202454
