lsoa_code,ics_score_z,rDERI_score_0_10,ics_pct,deri_pct,ics_z,deri_z,ics_rank_desc,deri_rank_desc,ics_high,deri_high,quadrant,overlooked_flag
E01000917,1.9142957463498664,4.599210341293036,0.9985456056513609,0.7984624974028672,3.073568402131996,0.7643674871305833,8,971,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001800,1.908936229825172,4.980313402262874,0.9983378350301267,0.8763764803656763,3.064963231968287,1.1169010938998742,9,596,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01002051,1.8601257573632688,5.004765288749512,0.9972989819239559,0.8803241221691253,2.9865937709599244,1.1395199406588352,14,577,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001808,1.815826103877922,4.056492461110018,0.9962601288177851,0.6293372117182631,2.9154668223483626,0.2623345428865454,19,1785,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01000034,1.7787594416901666,4.757115101677791,0.9958445875753168,0.8341990442551424,2.8559530706775362,0.9104348909525749,21,799,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001824,1.7716434301661643,5.126912084850622,0.9956368169540827,0.8969457718678578,2.8445276949428386,1.2525099819228844,22,497,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001826,1.7668540961837689,5.091477276052028,0.9952212757116143,0.8913359650945356,2.836838002467882,1.219731549445436,24,524,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001814,1.7062801443980562,4.257374016969438,0.9939746519842094,0.6987325992104716,2.7395812517511584,0.4481569795794711,30,1451,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01002763,1.67751966818104,4.058672097396079,0.993351340120507,0.6299605235819655,2.6934038044578426,0.26435078237676335,33,1782,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01000290,1.6617472478998492,4.9368557218268565,0.9929357988780386,0.8655724080615002,2.6680798111857214,1.0767012256885058,35,648,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01000750,1.6583118964906995,4.767378937320228,0.9927280282568045,0.8358612092250156,2.662564055555216,0.9199292964530386,36,791,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001809,1.6448173169400575,4.281024241916917,0.992104716393102,0.7062123415749013,2.64089733379292,0.470034261489573,39,1415,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001802,1.6301480063663036,4.718620548143166,0.9916891751506337,0.8267193018907126,2.6173444791483216,0.8748260880109239,41,835,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01004088,1.6271449791949812,4.781797966365157,0.9914814045293996,0.840432162892167,2.6125228577023565,0.9332674005931207,42,769,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001812,1.6063425977057924,4.372534602869649,0.9910658632869312,0.7350924579264492,2.5791228240052746,0.5546845330495265,44,1276,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01002055,1.6060472693734107,3.5411775423259453,0.990858092665697,0.4365260752129649,2.5786486486682643,-0.21434970750668605,45,2713,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01000167,1.5892390052626295,4.668900977524157,0.9896114689382921,0.8142530646166632,2.551661517988957,0.8288337532531428,51,895,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01000787,1.5815800973234375,4.493059945131911,0.9889881570745896,0.7708290047787243,2.53936447481701,0.6661746730307982,54,1104,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01000330,1.5748671362105329,4.607352987355609,0.9885726158321213,0.8015790567213796,2.5285862315906398,0.7718997183799985,56,956,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001609,1.566304823090284,4.941862777343599,0.9881570745896531,0.8666112611676708,2.5148386927864936,1.0813329264576343,58,643,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001728,1.5619818482972867,4.044174767023441,0.9879493039684188,0.6247662580511115,2.5078977805725344,0.2509402467809955,59,1807,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01004615,1.555516458961498,4.867213984393709,0.9877415333471847,0.8555994182422605,2.4975170353779363,1.012280192657416,60,696,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001725,1.5404182125762595,4.047378512115726,0.986910450862248,0.6264284230209848,2.4732754869621507,0.2539038225908523,64,1799,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01002363,1.5384336648227772,4.753399058023136,0.9867026802410139,0.8335757323914399,2.4700891228492616,0.906997421127079,65,802,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001959,1.518689064524682,4.979489796880628,0.9852482858923748,0.8759609391232079,2.4383874489022412,1.1161392302317659,72,598,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01003346,1.5184621347953735,4.804341387188276,0.9850405152711407,0.8441720340743819,2.4380230934744884,0.954120850133693,73,751,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01002278,1.485241589221781,4.51269470429809,0.9837938915437358,0.7762310409308124,2.384684616715465,0.6843375092181654,79,1078,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01003375,1.4723955200350334,4.940189760329526,0.982755038437565,0.8659879493039684,2.364059134775553,1.0797853274416185,84,646,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
E01001807,1.461951675862153,4.01945867454408,0.9823394971950966,0.6152088094743403,2.347290634136212,0.22807700027539476,86,1853,1,0,Q2: High ICS & Low DERI (OVERLOOKED areas),1
