k,silhouette,inertia
2,0.2965034305098926,83938.7614366268
3,0.23526373922153723,73346.21306435805
4,0.2027752591723056,64747.843914847894
5,0.21676489693412515,58518.59735031702
6,0.2206744948044365,53500.06780592725
7,0.19928686062739998,50543.62605731904
8,0.20420042622528387,47858.41821203915
9,0.20755253005391577,45114.50265594645
10,0.1940932678976128,42821.19208036507
