lsoa_code,cluster,PC1,PC2
E01000011,0,2.9149002297344846,5.52236643379785
E01000046,0,3.3707912286797734,2.47699192916537
E01000051,1,-1.2122390152406914,4.258946747993014
E01000077,0,5.308627225359852,2.3855126190823563
E01000083,0,5.654429042062539,1.0557437133563197
E01032580,0,4.472855915244777,2.3957482026005192
E01000006,0,0.41732951205171787,3.831811756640198
E01000009,0,3.8757412766592587,3.0949527926534492
E01000022,0,3.484773649883011,3.1147680927497348
E01000074,0,4.295565632922368,2.297554631471011
E01000084,0,5.511147958035638,2.3891904149245757
E01000089,0,1.746733920227049,5.107176476460825
E01000097,0,5.9805949108443865,1.8184643127798577
E01000113,0,1.1771003749448086,3.694986642091772
E01034470,0,1.7167551199655506,3.5564875970648586
E01000012,0,1.4049952941880963,2.610251358501045
E01000017,0,5.561361015610508,1.0919092923765634
E01000024,0,3.7241828706023044,2.691160919511794
E01000038,0,2.0264063538130705,1.0906725853450892
E01000040,0,4.718577072956626,3.7874652655452397
E01000041,0,3.6561293288502834,3.579461132393396
E01000043,0,3.1636714192152553,2.653150635511726
E01000050,0,3.58596266597706,1.5840947457673273
E01000058,0,3.5547215256624165,2.013047034290255
E01000076,0,5.840166952352677,2.0338212292532662
E01000081,0,3.154580458690304,2.8147376830008235
E01000082,0,3.480475910533852,1.844270460943091
E01000085,0,5.002030555206978,2.6588341605700063
E01000086,0,5.147100385260866,1.3954096683317396
E01000025,0,4.268890927460392,2.3003842899769866
E01000028,0,5.20878134300598,1.1783764299969541
E01000033,0,6.00965440547867,0.8479096806850763
E01000042,0,4.8683219374652476,1.2387452016764202
E01000052,0,3.692361191098906,3.9807695799525487
E01000055,0,3.3379561322363127,2.3830791287532285
E01000063,0,3.8514097867594264,1.7412174708865937
E01000078,0,5.094431468499356,2.02382031077481
E01034474,1,-1.5212614537059987,2.778165332435577
E01000016,0,3.511671148955851,3.408408924579794
E01000018,0,4.140340293965848,2.60714301420197
E01000044,0,2.494867746181297,3.8595377358800103
E01000049,0,4.128932050893195,3.550113623702629
E01000066,0,1.7935911653346202,3.491529140015687
E01000067,0,1.0745140413000411,2.508888594618042
E01000101,0,5.420050615477867,1.1098100078826267
E01000108,0,1.827552257688261,2.674746708494186
E01000110,1,-0.0852846387804508,2.7759061021991025
