lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.966,,,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,1703,123.64000000000001,94.56,100.0,111.0,65.17909571344687,4.192364638354281
E01034470,Barking and Dagenham 004G,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.967,,,25.691,0.12,0.084,22.485,-0.199,0.8909999999999999,39.755,34.149,1871,168.31,96.1,96.2,70.0,37.41314804917156,3.648399798103009
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.985,,,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,2023,86.63,33.68,99.78,186.0,91.94265941670785,4.531982737586893
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.957,,,39.004,0.25,0.169,22.898999999999997,0.6939999999999998,0.317,45.929,27.688000000000002,1516,168.42000000000002,100.0,100.0,98.0,64.64379947229551,4.184243148036887
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.96,,,29.339,0.155,0.1,29.298000000000002,0.263,0.24399999999999997,45.704,29.869,1535,153.05,97.75,100.0,99.0,64.49511400651465,4.18197554453845
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.94,,,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,1446,158.85999999999999,99.24,100.0,124.0,85.75380359612724,4.463074263354281
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.946,,,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,1711,138.92000000000002,97.97999999999999,100.0,137.0,80.07013442431327,4.395314637124716
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.962,,,33.173,0.172,0.10500000000000001,33.867,0.349,0.432,48.606,33.127,1755,158.1,99.84,100.0,80.0,45.58404558404558,3.8412581130687204
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.953,,,28.075,0.147,0.085,28.946000000000005,0.044,0.574,42.921,33.853,1516,136.525,78.175,89.75,81.0,53.43007915567282,3.9969169267105817
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.944,0.941,0.947,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,1933,119.55999999999999,81.28,100.0,107.0,55.3543714433523,4.031659814111342
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.978,,,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809,2022,135.01666666666668,86.38333333333333,86.38333333333333,108.0,53.41246290801187,3.996593225196803
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.959,,,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02,2047,167.35,99.38333333333333,100.0,108.0,52.760136785539814,3.9845322405855375
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.956,,,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,1831,157.28,99.4,100.0,72.0,39.32277444019661,3.6969164319165273
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,1953,159.48000000000002,93.38,100.0,120.0,61.443932411674346,4.134269072710809
