lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse,pct_disabled,pct_limited_a_lot,pct_limited_a_little,pct_long_term_not_limited,pct_no_long_term_condition,risk_disability_limited,fuel_poverty_pct,risk_fuel_poverty,rDERI_score_0_10,rDERI_decile
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.97,,,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,1670,122.15,94.55,100.0,134.0,80.23952095808383,4.397401840068554,25.417298937784523,32.16995447647951,37.177541729893775,37.177541729893775,67.83004552352048,10.170487948265723,5.526161081716637,4.644326866549089,3.233392122281012,86.59611992945327,10.170487948265723,18.57,18.57,4.008330120842171,7
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.961,,,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,1963,170.32,97.42,100.0,70.0,35.65970453387672,3.601678182746694,23.98625429553265,32.508591065292094,34.63917525773196,34.63917525773196,67.4914089347079,14.570552147239264,7.413087934560328,7.157464212678937,3.220858895705521,82.20858895705521,14.570552147239264,14.76,14.76,3.951556566403512,6
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.977,0.976,0.979,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,1144,111.68,55.08,100.0,166.0,145.1048951048951,4.984324823362344,11.548223350253808,54.18781725888325,17.258883248730964,17.258883248730964,45.81218274111675,6.775067750677506,2.077687443541102,4.697380307136405,2.5293586269196027,90.69557362240288,6.775067750677506,6.95,6.95,4.087554841635313,7
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.954,,,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02,1487,153.92000000000002,99.66,99.84,94.0,63.21452589105582,4.162229445088278,25.96899224806201,27.36434108527132,34.88372093023256,34.88372093023256,72.63565891472868,14.269073966220152,6.87245195107746,7.396622015142691,3.5527082119976705,82.17821782178217,14.269073966220152,15.74,15.74,4.623069160603564,9
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,34.377,0.196,0.134,27.072,0.361,0.4339999999999999,44.245,35.395,1888,164.6,100.0,100.0,107.0,56.67372881355932,4.054801763306464,28.034682080924856,26.44508670520232,39.16184971098266,39.16184971098266,73.55491329479769,17.466110531803963,7.507820646506778,9.958289885297186,3.597497393117831,78.9363920750782,17.466110531803963,16.16,16.16,4.330482432482008,8
E01032580,Barking and Dagenham 023F,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.966,,,34.123,0.191,0.132,22.768,0.527,0.892,43.804,24.616,1394,113.4,92.525,100.0,183.0,131.27690100430416,4.884897460293836,24.196428571428573,28.57142857142857,37.142857142857146,37.142857142857146,71.42857142857143,14.553686934023286,6.9210866752910745,7.632600258732213,3.686934023285899,81.75937904269081,14.553686934023286,16.95,16.95,3.757386158251849,6
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.975,,,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,2040,132.22,78.76,100.0,75.0,36.76470588235294,3.631374959633745,20.64380685794261,34.919524142757176,31.49055283414976,31.49055283414976,65.08047585724282,11.261505143475906,4.818624796968057,6.442880346507851,2.7612344342176502,85.97726042230644,11.261505143475906,13.98,13.98,3.1300859521681854,3
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.952,,,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1775,120.62,94.76,99.82,236.0,132.95774647887325,4.89752442544107,24.946846208362864,33.59319631467045,36.85329553508151,36.85329553508151,66.40680368532955,12.590127565169162,6.100942872989462,6.4891846921797,2.384914032168608,85.02495840266224,12.590127565169162,13.96,13.96,4.747054980149528,9
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.949,,,34.413,0.195,0.139,27.111,0.4269999999999999,0.506,44.277,30.435,1372,140.575,97.425,100.0,80.0,58.30903790087464,4.082761704186012,22.851919561243143,31.901279707495423,33.08957952468008,33.08957952468008,68.09872029250457,12.170385395537526,6.085192697768763,6.085192697768763,4.192021636240703,83.63759296822178,12.170385395537526,16.0,16.0,4.135808062662541,7
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.944,,,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806,1610,174.14,99.7,100.0,103.0,63.97515527950311,4.174004970359298,25.505443234836704,29.704510108864696,35.14774494556765,35.14774494556765,70.2954898911353,14.383172256964183,7.049459920409324,7.333712336554861,4.263786242183058,81.35304150085275,14.383172256964183,15.59,15.59,3.873794052450248,6
