lsoa_code,ics_score_z,ics_score_0_100,ics_rank,ics_band,ics_high_risk_flag,risk_participation,risk_vulnerability,risk_infra,overlooked_proxy_flag
E01000011,-0.13466520249220168,40.52337495907408,2700,Lower (50-100%),0,-0.790097160476597,0.5504174582706808,-0.2680933649953942,0
E01000046,0.09644173477756449,46.254505080457,2002,Mid (25-50%),0,-0.1912932290556417,0.5944818637891652,-0.8499315085252112,0
E01000051,-0.545018835382791,30.347176469917652,3901,Lower (50-100%),0,-1.2558335515817842,-0.08116615591128755,0.5663103298909128,0
E01000077,0.50496768353574,56.38537954902194,972,Upper (10-25%),0,0.2744431620495457,1.0030033415824398,-0.6988324309865362,0
E01000083,0.7826704060365618,63.27202023803215,535,Upper (10-25%),0,0.8732470934705009,1.0513692679495898,-0.8340695660247895,0
E01032580,0.1629173207048435,47.90300701356729,1811,Mid (25-50%),0,-0.5239620798450613,0.916000652329624,-0.13500036913209737,0
E01000006,-0.54247212822165,30.410331260050665,3891,Lower (50-100%),0,-1.1227660112660165,-0.0624977745801039,-0.09103424590895848,0
E01000009,0.47597226516870494,55.666333563001025,1031,Upper (10-25%),0,0.40751070236531356,0.7039857630855059,-0.24201144284163764,0
E01000022,0.5014352140588016,56.29777922658543,979,Upper (10-25%),0,0.6071120128389653,0.6234183661965247,-0.5230345650716894,0
E01000074,0.6738991998048929,60.574645837514666,676,Upper (10-25%),0,0.9397808636283849,0.7652120151230979,-0.9334759563327434,0
E01000084,0.7189669210063395,61.69226254574096,614,Upper (10-25%),0,0.5405782426810813,1.2314144442508808,-0.7842978811304347,0
E01000089,-0.3883708446906409,34.23182843457047,3458,Lower (50-100%),0,-1.0562322411081326,0.3570372057066833,-0.7373307875998875,0
E01000097,0.7282551904218048,61.92259868904918,601,Upper (10-25%),0,0.6071120128389653,1.0276997610459737,-0.07410107826417857,0
E01000113,-0.19861567000183042,38.93749244533052,2915,Lower (50-100%),0,-0.5239620798450613,0.14585064437452971,-0.28465524040091206,0
E01034470,-0.16840238199546279,39.686739901962206,2823,Lower (50-100%),0,-0.5904958500029451,0.33347787043366833,-0.527442911892882,0
E01000012,-0.5522356686486427,30.168209057690465,3918,Lower (50-100%),0,-1.7881037128448556,0.2836509051724214,1.2476809480395261,0
E01000017,0.40871519742066575,53.998451969309436,1168,Upper (10-25%),0,0.07484185157589397,1.0280948072023854,-0.8760629902955995,0
E01000024,0.19032536984803733,48.58268845398007,1720,Mid (25-50%),0,-0.12475945889775777,0.6957259740710157,-0.6660956197992874,0
E01000038,0.5954911933937703,58.63023649779918,808,Upper (10-25%),0,1.2059159442599205,0.28564652061726664,-0.757119158009639,0
E01000040,0.6953914813992615,61.107624483148946,642,Upper (10-25%),0,0.806713323312617,0.8530356293055718,-0.5149554727892349,0
E01000041,0.09640028203119108,46.253477110088994,2003,Mid (25-50%),0,-0.2578269992135256,0.6408718315507443,-0.7596989252055732,0
E01000043,0.46429922039879434,55.37685831280118,1053,Upper (10-25%),0,0.34097693220742964,0.5535360517913103,0.6176837759936139,0
E01000050,0.6669631861964799,60.402642361621176,688,Upper (10-25%),0,0.9397808636283849,0.5418678028040345,0.0022128630189106233,0
E01000058,-0.23799423344131343,37.960958924827096,3010,Lower (50-100%),0,-1.3223673217396683,0.6313801737374723,0.7294998315967476,0
E01000076,0.3787187313514627,53.254581394694966,1233,Mid (25-50%),0,-0.05822568873987386,1.0893922514880838,-0.8530622188523175,0
E01000081,0.21376875951336877,49.16405186195716,1642,Mid (25-50%),0,0.14137562173377788,0.4987029574883728,-0.7426660113659906,0
E01000082,0.5716911781166488,58.040029271415214,842,Upper (10-25%),0,0.8732470934705009,0.5432091744617777,-0.6571414245287653,0
E01000085,0.5139883065218244,56.6090784337025,954,Upper (10-25%),0,0.34097693220742964,0.9221583601643155,-0.5442257504546091,0
E01000086,0.38734880202365746,53.46859512601514,1214,Mid (25-50%),0,0.07484185157589397,0.9748581246995152,-0.8501618730027664,0
E01000025,0.2788640985945273,50.77832559591342,1470,Mid (25-50%),0,0.008308081418010056,0.7980090151001087,-0.8397859483862611,0
E01000028,1.0006571503359076,68.67778784966332,331,High (Top 10%),1,1.4720510248914487,0.7965506748685556,-0.20213614556094317,0
E01000033,0.8675202681878466,65.37617862685103,449,High (Top 10%),1,1.0728484039441526,1.0124983176723072,-0.7088575653956041,0
E01000042,0.47331776148897936,55.60050556936342,1037,Upper (10-25%),0,0.2079093918916618,0.837219065620131,0.030099556086725616,0
