Type,Cluster,Pressure,Performance,Participation
"Well-served, moderate engagement",1,Mid,Mid,Mid
Missing middle (C2),2,Mid,Mid,Mid
Engaged despite weak broadband,3,Mid,Mid,Mid
Stacked disadvantage (C4),4,High,Mid,Low
Digitally thriving,5,Low,Mid,High
Pressured but active online,6,High,Low,Mid
