,PC1,PC2,abs_PC1,abs_PC2
pct_no_qual,0.26270031806234,0.1658752634359197,0.26270031806234,0.1658752634359197
pct_low_skill,0.2586125916910387,0.16874769629432268,0.2586125916910387,0.16874769629432268
risk_edu_low,0.2586125916910387,0.16874769629432268,0.2586125916910387,0.16874769629432268
imd_employ_score,0.2538766718468634,-0.09788160598331665,0.2538766718468634,0.09788160598331665
imd_income_score,0.2535192379156887,-0.045984759763823026,0.2535192379156887,0.045984759763823026
imd_score,0.25179143534215054,-0.02616110411327638,0.25179143534215054,0.02616110411327638
rDERI_score_0_10,0.24980571579754726,-0.06642885448748208,0.24980571579754726,0.06642885448748208
imd_edu_score,0.24619386808521407,0.08424681689347079,0.24619386808521407,0.08424681689347079
pct_limited_a_lot,0.23469090793388395,-0.20868943255845132,0.23469090793388395,0.20868943255845132
risk_edu_highskill_inverse,0.23324117368839656,0.14374246062939539,0.23324117368839656,0.14374246062939539
pct_level4plus,-0.23324117368839656,-0.14374246062939539,0.23324117368839656,0.14374246062939539
risk_disability_limited,0.21020394572958515,-0.3120340273956272,0.21020394572958515,0.3120340273956272
pct_disabled,0.21020394572958515,-0.3120340273956272,0.21020394572958515,0.3120340273956272
imd_health_score,0.20872012650710653,-0.11498477795638876,0.20872012650710653,0.11498477795638876
risk_fuel_poverty,0.16806619544444054,0.27077959380545935,0.16806619544444054,0.27077959380545935
fuel_poverty_pct,0.16806619544444054,0.27077959380545935,0.16806619544444054,0.27077959380545935
imd_barriers_score,0.1676721423533619,0.14411229682329763,0.1676721423533619,0.14411229682329763
pct_long_term_not_limited,-0.16650233326607192,-0.28806449371840864,0.16650233326607192,0.28806449371840864
imd_crime_score,0.13392355994932395,-0.0181326591782638,0.13392355994932395,0.0181326591782638
dpi_score,-0.11939549599946836,0.11513264323418564,0.11939549599946836,0.11513264323418564
pct_no_long_term_condition,-0.11862923039931132,0.4123179263558911,0.11862923039931132,0.4123179263558911
pct_limited_a_little,0.11545688226447783,-0.3654199716826939,0.11545688226447783,0.3654199716826939
bb_q_dl_core,-0.08045074848665679,0.08832996453117771,0.08045074848665679,0.08832996453117771
crime_rate_per_1000_window_log1p,0.0787328877336124,-0.04609717340221976,0.0787328877336124,0.04609717340221976
imd_livenv_score,-0.02507871983723377,-0.000992849045905343,0.02507871983723377,0.000992849045905343
imd_pop2015,0.02487718582207,0.07942697688095211,0.02487718582207,0.07942697688095211
crime_rate_per_1000_window,0.01417006924836752,-0.04922948442080237,0.01417006924836752,0.04922948442080237
crime_count_window,0.012301396795691503,-0.040017049607336624,0.012301396795691503,0.040017049607336624
bb_q_ul_core,-0.008674539252573027,0.09164385469679714,0.008674539252573027,0.09164385469679714
bb_q_sfu_core,0.0009787704447998887,0.05139616261855569,0.0009787704447998887,0.05139616261855569
