lsoa_code,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse
E01000001,2.3651145602365116,83.22246858832226,4.286770140428677,4.286770140428677,16.777531411677742
E01000002,1.7692307692307692,83.53846153846153,3.923076923076923,3.923076923076923,16.461538461538467
E01000003,8.77076411960133,70.09966777408638,12.82392026578073,12.82392026578073,29.900332225913616
E01000005,20.563674321503132,40.396659707724424,26.931106471816285,26.931106471816285,59.603340292275576
E01000006,20.643806857942618,34.919524142757176,31.490552834149753,31.490552834149753,65.08047585724282
E01000007,16.81333950903196,48.49467345993516,24.085224641037517,24.085224641037517,51.50532654006484
E01000008,20.87649402390438,31.95219123505976,30.996015936254977,30.996015936254977,68.04780876494024
E01000009,24.946846208362864,33.59319631467045,36.85329553508151,36.85329553508151,66.40680368532955
E01000011,25.417298937784523,32.16995447647951,37.177541729893775,37.177541729893775,67.83004552352048
E01000012,19.63151207115629,39.135959339263025,29.860228716645487,29.860228716645487,60.864040660736975
E01000013,25.44674767691208,27.662616154395998,36.45461043602573,36.45461043602573,72.337383845604
E01000014,25.816249050873196,29.00531511009871,36.75018982536067,36.75018982536067,70.9946848899013
E01000015,22.606689734717417,32.06459054209919,33.44867358708189,33.44867358708189,67.93540945790082
E01000016,22.317596566523605,31.187410586552218,32.1173104434907,32.1173104434907,68.81258941344778
E01000017,25.15290519877676,29.740061162079513,37.53822629969419,37.53822629969419,70.25993883792049
E01000018,24.81536189069424,31.166912850812405,36.70605612998523,36.70605612998523,68.83308714918759
E01000019,23.850085178875638,31.175468483816015,35.09369676320272,35.09369676320272,68.82453151618398
E01000020,26.58779576587796,28.829389788293895,36.48816936488169,36.48816936488169,71.1706102117061
E01000021,23.88663967611336,29.797570850202433,35.060728744939276,35.060728744939276,70.20242914979757
E01000022,22.851919561243143,31.901279707495426,33.089579524680076,33.089579524680076,68.09872029250457
E01000024,23.745519713261647,30.0179211469534,35.93189964157706,35.93189964157706,69.9820788530466
E01000025,28.13793103448276,31.03448275862069,37.24137931034483,37.24137931034483,68.9655172413793
E01000027,25.64102564102564,25.506072874493928,36.30229419703104,36.30229419703104,74.49392712550608
E01000028,24.29837518463811,32.64401772525849,34.26883308714919,34.26883308714919,67.3559822747415
E01000029,23.562023562023562,31.80873180873181,34.92723492723493,34.92723492723493,68.1912681912682
E01000030,22.32612507305669,33.664523670368204,32.96317942723553,32.96317942723553,66.3354763296318
E01000031,20.300214438884918,35.66833452466047,29.23516797712652,29.23516797712652,64.33166547533952
E01000032,23.106060606060606,31.313131313131315,34.217171717171716,34.217171717171716,68.68686868686868
E01000033,27.982062780269057,26.547085201793724,38.83408071748879,38.83408071748879,73.45291479820628
E01000034,28.028503562945367,28.899445764053837,36.57957244655582,36.57957244655582,71.10055423594616
E01000035,27.827278958190544,30.50034270047978,38.1082933516107,38.1082933516107,69.49965729952022
E01000036,23.69098712446352,33.39055793991416,33.81974248927039,33.81974248927039,66.60944206008584
E01000037,20.78291814946619,29.964412811387902,34.021352313167256,34.021352313167256,70.0355871886121
E01000038,23.268482490272373,28.871595330739297,34.70817120622568,34.70817120622568,71.1284046692607
E01000039,22.62343404568902,34.92999263080324,31.54016212232867,31.54016212232867,65.07000736919676
E01000040,30.687455705173633,28.70304748405386,40.39688164422395,40.39688164422395,71.29695251594615
E01000041,25.39797395079595,31.25904486251809,35.89001447178003,35.89001447178003,68.7409551374819
E01000042,22.816265060240966,32.98192771084337,33.28313253012048,33.28313253012048,67.01807228915663
E01000043,23.934426229508198,33.114754098360656,34.34426229508197,34.34426229508197,66.88524590163934
E01000044,22.281167108753316,34.41644562334217,33.48806366047745,33.48806366047745,65.58355437665783
E01000045,22.939346811819597,30.7153965785381,34.68118195956454,34.68118195956454,69.2846034214619
E01000046,23.986254295532646,32.508591065292094,34.63917525773196,34.63917525773196,67.4914089347079
E01000049,21.06430155210643,33.11160384331116,34.29416112342942,34.29416112342942,66.88839615668884
E01000050,21.08345534407028,37.62811127379209,30.30746705710102,30.30746705710102,62.37188872620791
E01000051,11.548223350253807,54.18781725888325,17.258883248730964,17.258883248730964,45.81218274111675
E01000052,25.484439224897244,33.587786259541986,35.34938344098649,35.34938344098649,66.41221374045801
E01000053,25.33112582781457,28.14569536423841,37.831125827814574,37.831125827814574,71.8543046357616
E01000054,24.049707602339183,31.725146198830412,35.38011695906433,35.38011695906433,68.27485380116958
E01000055,23.400936037441497,28.23712948517941,35.33541341653666,35.33541341653666,71.76287051482059
E01000056,26.16600790513834,28.537549407114625,36.75889328063241,36.75889328063241,71.46245059288538
E01000057,24.673060156931125,31.29904097646033,36.44289450741064,36.44289450741064,68.70095902353967
E01000058,22.844556324732537,31.780994336060413,35.053492762743865,35.053492762743865,68.21900566393958
E01000059,25.71428571428571,27.413127413127413,36.21621621621622,36.21621621621622,72.58687258687259
E01000060,22.62210796915167,32.326478149100254,33.03341902313625,33.03341902313625,67.67352185089975
E01000061,21.91582002902758,30.76923076923077,34.1799709724238,34.1799709724238,69.23076923076923
E01000062,22.294887039239,33.353151010701545,32.6397146254459,32.6397146254459,66.64684898929846
E01000063,22.31404958677686,29.75206611570248,32.90758827948911,32.90758827948911,70.24793388429752
E01000064,25.158684362377382,33.698788228505485,34.85285631852279,34.85285631852279,66.30121177149451
E01000065,26.157860404435745,28.31050228310502,36.13829093281148,36.13829093281148,71.68949771689498
E01000066,21.711899791231733,29.906054279749476,30.167014613778704,30.167014613778704,70.09394572025053
E01000067,19.462686567164177,34.44776119402985,29.731343283582092,29.731343283582092,65.55223880597015
E01000068,22.687373396353816,37.60972316002701,32.748143146522615,32.748143146522615,62.39027683997299
E01000069,18.037781840341253,31.62705667276051,30.04265691651432,30.04265691651432,68.37294332723948
E01000070,19.4150591163659,37.2744243932794,28.873677660236464,28.873677660236464,62.7255756067206
E01000071,17.935871743486974,37.77555110220441,28.857715430861724,28.857715430861724,62.22444889779559
E01000072,24.37619961612284,30.710172744721685,35.57261676263595,35.57261676263595,69.28982725527831
E01000073,23.5467255334805,29.94849153789551,35.1729212656365,35.1729212656365,70.0515084621045
E01000074,25.505443234836704,29.704510108864696,35.14774494556765,35.14774494556765,70.2954898911353
E01000075,24.350649350649352,31.68831168831169,35.064935064935064,35.064935064935064,68.31168831168831
E01000076,30.79754601226994,28.098159509202453,40.920245398773005,40.920245398773005,71.90184049079755
E01000077,25.968992248062015,27.364341085271317,34.883720930232556,34.883720930232556,72.63565891472868
E01000078,27.111111111111114,28.22222222222222,38.81481481481481,38.81481481481481,71.77777777777777
E01000079,24.78565861262666,30.475448168355417,33.826968043647696,33.826968043647696,69.52455183164459
E01000080,24.794622852875282,30.61986557132188,33.980582524271846,33.980582524271846,69.38013442867812
