lsoa_code,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015
E01000024,29.339,0.155,0.1,29.298000000000002,0.263,0.24399999999999997,45.704,29.869,1535
E01000025,36.702,0.219,0.138,25.691000000000003,0.395,0.837,47.02900000000001,28.042,1637
E01000027,37.34700000000001,0.216,0.146,38.12200000000001,0.148,1.042,44.976,20.329,1858
E01000028,40.078,0.26,0.155,27.699,1.138,-0.11099999999999999,48.625,16.282,1629
E01000029,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,1737
E01000030,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993,2155
E01000031,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703,1716
E01000032,29.957999999999995,0.146,0.106,23.035,0.095,0.913,39.922,38.369,1755
E01000033,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,1520
E01000034,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01,1502
E01000035,26.175,0.15,0.09200000000000001,25.536,0.3970000000000001,0.242,39.025,23.070999999999998,1799
E01000036,19.27,0.112,0.073,15.969000000000001,-0.185,0.386,31.724,27.612000000000002,1493
E01000037,17.988,0.096,0.101,20.287999999999997,-0.504,-0.067,29.715,19.057,1931
