lsoa_code,rDERI_overall_z,rDERI_score_0_10,rDERI_decile
E01000001,-0.49485929495882813,2.8076960548232917,2
E01000002,0.202220828682695,4.9824173332275326,9
E01000003,-0.1612333860312738,3.848528146522441,6
E01000005,0.2662413570293859,5.18214588741857,10
E01000006,-0.39152118366446526,3.1300859521681854,3
E01000007,-0.4722109515822516,2.878353404805308,2
E01000008,-0.27706697585062096,3.487155380335771,5
E01000009,0.12677832494053098,4.747054980149528,9
E01000011,-0.11001083115808281,4.008330120842171,7
E01000012,-0.21447140632519046,3.6824384078730614,5
E01000013,-0.0370194698646825,4.23604550270562,7
E01000014,-0.005513153945844618,4.334337583212649,8
E01000015,-0.20406928813403455,3.714890499108439,6
E01000016,0.0028452204934175662,4.360413688569056,8
E01000017,0.15860279235119398,4.846339616312016,9
E01000018,-0.05774727945755268,4.171379753321109,7
E01000019,-0.046281829426295544,4.207149182549991,7
E01000020,0.27907619017149027,5.222187460535144,10
E01000021,0.012140094073582686,4.389411444593525,8
E01000022,-0.06914934682528816,4.135808062662541,7
E01000024,-0.18244005728562093,3.782368464648239,6
E01000025,-0.03560737394932519,4.240450900206029,7
E01000027,0.022882282962764258,4.422924474102818,8
E01000028,0.24786691690497728,5.124822081213093,9
E01000029,0.11919705905029963,4.723403265390257,9
E01000030,0.042466580304541236,4.484022742016796,8
E01000031,-0.1776986699723536,3.797160445554901,6
E01000032,-0.09515950265268663,4.054662671459933,7
E01000033,0.047304516480722335,4.499115932008989,8
E01000034,0.13000297300389865,4.757115101677791,9
E01000035,-0.097727268316058,4.046651864040955,7
E01000036,-0.4086587718499688,3.076620824669141,3
E01000037,-0.2638753514283066,3.528310055895961,5
E01000038,-0.11847548793251554,3.981922440322487,7
E01000039,-0.004385905947699299,4.3378543241502605,8
E01000040,0.05768671654882603,4.531505883521027,8
E01000041,-0.05764161664390499,4.171709395727172,7
E01000042,-0.13241010820791105,3.9384497975205672,6
E01000043,-0.07178805641239516,4.127575927371359,7
E01000044,-0.21488214423676535,3.681157004995752,5
E01000045,-0.13033188121847297,3.944933362755041,6
E01000046,-0.1282088948551047,3.9515565664035117,6
E01000049,0.003042071269379091,4.3610278153482245,8
E01000050,0.04900152382142847,4.504410184202213,8
E01000051,-0.0846163225769775,4.087554841635313,7
E01000052,0.11857731593231773,4.721469816852406,9
E01000053,0.16338743553923715,4.861266545079189,9
E01000054,-0.13398936022622696,3.9335229134340537,6
E01000055,-0.2672556190658032,3.51776443895947,5
E01000056,-0.03729654355130992,4.235181099860726,7
E01000057,-0.14685250543280812,3.8933930135283994,6
E01000058,-0.08991807122824093,4.071014668972776,7
E01000059,0.07670904704916283,4.590850950896947,8
E01000060,0.024400316768623753,4.427660372182502,8
E01000061,-0.09855825113825302,4.0440593987502,7
E01000062,-0.11325560004426083,3.9982072272163816,7
E01000063,-0.1065055572978086,4.019265726939717,7
E01000064,0.15679719825846064,4.840706599732637,9
E01000065,0.43377935011550434,5.704823878295975,10
