lsoa_code,major_cat,crime_count_window
E01000020,POSSESSION OF WEAPONS,0
E01000020,PUBLIC ORDER OFFENCES,0
E01000020,ROBBERY,3
E01000020,THEFT,11
E01000020,VEHICLE OFFENCES,19
E01000020,VIOLENCE AGAINST THE PERSON,35
E01000021,ARSON AND CRIMINAL DAMAGE,12
E01000021,BURGLARY,6
E01000021,DRUG OFFENCES,11
E01000021,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000021,POSSESSION OF WEAPONS,0
E01000021,PUBLIC ORDER OFFENCES,9
E01000021,ROBBERY,1
E01000021,THEFT,17
E01000021,VEHICLE OFFENCES,17
E01000021,VIOLENCE AGAINST THE PERSON,88
E01000022,ARSON AND CRIMINAL DAMAGE,5
E01000022,BURGLARY,6
E01000022,DRUG OFFENCES,2
E01000022,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000022,POSSESSION OF WEAPONS,1
E01000022,PUBLIC ORDER OFFENCES,0
E01000022,ROBBERY,1
E01000022,THEFT,8
E01000022,VEHICLE OFFENCES,10
E01000022,VIOLENCE AGAINST THE PERSON,43
E01000024,ARSON AND CRIMINAL DAMAGE,11
E01000024,BURGLARY,5
E01000024,DRUG OFFENCES,6
E01000024,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000024,PUBLIC ORDER OFFENCES,10
E01000024,ROBBERY,6
E01000024,THEFT,9
E01000024,VEHICLE OFFENCES,2
E01000024,VIOLENCE AGAINST THE PERSON,49
E01000025,ARSON AND CRIMINAL DAMAGE,4
E01000025,BURGLARY,4
E01000025,DRUG OFFENCES,1
E01000025,MISCELLANEOUS CRIMES AGAINST SOCIETY,5
E01000025,PUBLIC ORDER OFFENCES,3
E01000025,ROBBERY,5
E01000025,THEFT,9
E01000025,VEHICLE OFFENCES,12
E01000025,VIOLENCE AGAINST THE PERSON,40
E01000027,ARSON AND CRIMINAL DAMAGE,15
E01000027,BURGLARY,10
E01000027,DRUG OFFENCES,37
E01000027,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000027,POSSESSION OF WEAPONS,1
E01000027,PUBLIC ORDER OFFENCES,12
E01000027,ROBBERY,2
E01000027,THEFT,18
E01000027,VEHICLE OFFENCES,12
E01000027,VIOLENCE AGAINST THE PERSON,69
E01000028,ARSON AND CRIMINAL DAMAGE,10
E01000028,BURGLARY,1
E01000028,DRUG OFFENCES,15
E01000028,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000028,POSSESSION OF WEAPONS,1
E01000028,PUBLIC ORDER OFFENCES,4
E01000028,ROBBERY,3
E01000028,THEFT,15
E01000028,VEHICLE OFFENCES,6
E01000028,VIOLENCE AGAINST THE PERSON,54
E01000029,ARSON AND CRIMINAL DAMAGE,7
E01000029,BURGLARY,7
E01000029,DRUG OFFENCES,10
E01000029,PUBLIC ORDER OFFENCES,2
E01000029,ROBBERY,3
E01000029,THEFT,11
E01000029,VEHICLE OFFENCES,24
E01000029,VIOLENCE AGAINST THE PERSON,42
E01000030,ARSON AND CRIMINAL DAMAGE,18
E01000030,BURGLARY,11
E01000030,DRUG OFFENCES,22
E01000030,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000030,POSSESSION OF WEAPONS,1
E01000030,PUBLIC ORDER OFFENCES,18
E01000030,ROBBERY,10
E01000030,THEFT,47
E01000030,VEHICLE OFFENCES,25
E01000030,VIOLENCE AGAINST THE PERSON,120
E01000031,ARSON AND CRIMINAL DAMAGE,12
E01000031,BURGLARY,7
E01000031,DRUG OFFENCES,8
E01000031,MISCELLANEOUS CRIMES AGAINST SOCIETY,9
E01000031,POSSESSION OF WEAPONS,2
E01000031,PUBLIC ORDER OFFENCES,13
E01000031,ROBBERY,3
E01000031,THEFT,15
E01000031,VEHICLE OFFENCES,17
E01000031,VIOLENCE AGAINST THE PERSON,61
E01000032,ARSON AND CRIMINAL DAMAGE,27
E01000032,BURGLARY,11
E01000032,DRUG OFFENCES,11
E01000032,MISCELLANEOUS CRIMES AGAINST SOCIETY,0
