lsoa_code,fuel_poverty_pct,risk_fuel_poverty,fuel_poverty_pct_calc,fuel_pct_abs_diff
BACK TO CONTENTS,,,,
E01000001,3.83,3.83,3.825136612021858,0.004863387978141898
E01000002,3.3,3.3,3.295454545454545,0.004545454545454852
E01000003,5.83,5.83,5.834092980856882,0.004092980856881923
E01000005,8.27,8.27,8.269230769230768,0.0007692307692312994
E01000006,13.98,13.98,13.980263157894738,0.0002631578947376312
E01000007,5.85,5.85,5.85480093676815,0.004800936768150521
E01000008,10.77,10.77,10.774410774410773,0.0044107744107737545
E01000009,13.96,13.96,13.960546282245827,0.0005462822458266459
E01000011,18.57,18.57,18.568665377176018,0.0013346228239825564
E01000012,8.6,8.6,8.598351001177857,0.0016489988221426444
E01000013,17.06,17.06,17.062314540059347,0.002314540059348502
E01000014,15.55,15.55,15.549215406562054,0.0007845934379471231
E01000015,13.21,13.21,13.213885778275476,0.0038857782754746495
E01000016,15.4,15.4,15.395894428152493,0.00410557184750715
E01000017,16.08,16.08,16.079632465543643,0.0003675344563554006
E01000018,16.5,16.5,16.49928263988522,0.0007173601147805186
E01000019,16.02,16.02,16.022099447513813,0.002099447513813857
E01000020,13.77,13.77,13.76912378303199,0.0008762169680096576
E01000021,15.46,15.46,15.455950540958268,0.004049459041732817
E01000022,16.0,16.0,16.0,0.0
E01000024,16.9,16.9,16.898608349900595,0.001391650099403563
E01000025,13.73,13.73,13.733333333333334,0.0033333333333338544
E01000027,9.97,9.97,9.97229916897507,0.002299168975069321
E01000028,11.74,11.74,11.738484398216938,0.0015156017830619817
E01000029,11.32,11.32,11.318242343541945,0.0017576564580554788
E01000030,10.7,10.7,10.699588477366255,0.0004115226337439992
E01000031,10.91,10.91,10.906298003072196,0.003701996927803819
E01000032,13.24,13.24,13.239074550128535,0.0009254498714650339
E01000033,14.93,14.93,14.93288590604027,0.0028859060402695036
E01000034,12.25,12.25,12.252252252252251,0.002252252252251452
E01000035,12.0,12.0,12.0,0.0
E01000036,12.96,12.96,12.959381044487428,0.0006189555125732937
E01000037,8.7,8.7,8.695652173913043,0.004347826086956275
E01000038,10.84,10.84,10.841423948220065,0.0014239482200650855
E01000039,6.6,6.6,6.599713055954089,0.00028694404591078637
E01000040,14.63,14.63,14.627285513361462,0.0027144866385384603
E01000041,16.13,16.13,16.13394216133942,0.00394216133942038
E01000042,13.1,13.1,13.098591549295774,0.0014084507042255723
E01000043,15.4,15.4,15.39961013645224,0.00038986354775971677
E01000044,17.48,17.48,17.482517482517483,0.0025174825174829607
E01000045,16.16,16.16,16.164817749603806,0.0048177496038057654
E01000046,14.76,14.76,14.763231197771587,0.003231197771587091
E01000049,14.92,14.92,14.920634920634921,0.0006349206349209879
E01000050,15.33,15.33,15.328467153284672,0.0015328467153281622
E01000051,6.95,6.95,6.947368421052631,0.0026315789473692064
E01000052,16.84,16.84,16.840882694541232,0.0008826945412323539
E01000053,9.79,9.79,9.787234042553191,0.002765957446808187
E01000054,16.02,16.02,16.017316017316016,0.002683982683983288
E01000055,16.19,16.19,16.185897435897438,0.0041025641025633774
E01000056,12.66,12.66,12.664473684210526,0.004473684210525519
E01000057,16.11,16.11,16.112084063047284,0.002084063047284701
E01000058,15.16,15.16,15.163398692810457,0.0033986928104567937
E01000059,14.51,14.51,14.513556618819775,0.0035566188197755366
E01000060,11.86,11.86,11.85860889395667,0.0013911060433287048
E01000061,8.18,8.18,8.178438661710038,0.0015613382899619666
E01000062,14.56,14.56,14.560770156438027,0.0007701564380262482
E01000063,14.9,14.9,14.896755162241886,0.0032448377581140164
E01000064,12.59,12.59,12.588235294117647,0.0017647058823531125
E01000065,12.96,12.96,12.956419316843345,0.0035806831566560504
E01000066,12.43,12.43,12.43455497382199,0.004554973821990771
E01000067,12.87,12.87,12.867132867132867,0.0028671328671325824
E01000068,13.38,13.38,13.38432122370937,0.0043212237093683825
E01000069,12.14,12.14,12.141652613827993,0.001652613827992866
E01000070,13.11,13.11,13.112164296998422,0.002164296998422799
E01000071,10.22,10.22,10.218140068886337,0.001859931113664004
E01000072,14.48,14.48,14.478527607361963,0.0014723926380373342
E01000073,16.81,16.81,16.805555555555557,0.0044444444444415865
E01000074,15.59,15.59,15.588235294117647,0.0017647058823531125
E01000075,15.97,15.97,15.971223021582734,0.0012230215827333524
E01000076,16.28,16.28,16.27906976744186,0.000930232558140176
E01000077,15.74,15.74,15.74074074074074,0.0007407407407402644
E01000078,16.0,16.0,16.0,0.0
E01000079,15.76,15.76,15.758468335787922,0.0015316642120772883
E01000080,16.09,16.09,16.090225563909772,0.0002255639097725748
E01000081,14.81,14.81,14.809590973201692,0.00040902679830878697
E01000082,14.1,14.1,14.095744680851062,0.0042553191489371756
E01000083,16.16,16.16,16.157205240174672,0.0027947598253277306
E01000084,16.15,16.15,16.14678899082569,0.003211009174307833
