k,silhouette,calinski_harabasz,davies_bouldin,inertia
2,0.2893600490802119,2231.4833588785395,1.3283832481863398,74725.90686151254
3,0.24772013508775162,1680.463536841226,1.4338208653457478,64392.51811006408
4,0.20879061463355858,1501.3861735619525,1.5178027832337415,56483.274128728655
5,0.22315040727587132,1404.118236537826,1.3486815663066336,50451.274088543476
6,0.22462301017041159,1368.8203288226885,1.1790346438325885,45130.36000249603
7,0.20182879762342323,1265.980251087964,1.2483002838290702,42389.52315483323
8,0.20916945773811726,1183.311724688801,1.247358705163022,40158.57278212139
9,0.19327607042204314,1125.0656095418078,1.2895856968119,38066.78006434751
10,0.1899836606656404,1082.8254222319763,1.281422255180503,36112.76387469246
