lsoa_code,cluster,PC1,PC2
E01000011,1,3.1578734413475584,5.179661096454671
E01000046,1,3.644214917773138,2.3735699461573327
E01000051,0,-0.6809514749494127,2.485052696335994
E01000077,1,5.200873714938481,2.0920140712857993
E01000083,1,5.671889602646908,0.9350318429601241
E01032580,1,4.862777124510949,1.9001267407836449
E01000006,1,1.0680166830051756,3.7249960808408926
E01000009,1,3.649669110433379,2.8633712503428406
E01000022,1,3.5098655567314103,2.905644716934528
E01000074,1,4.511701963602948,2.137763006429231
E01000084,1,5.829283265679724,1.925415701962953
E01000089,1,2.1106340451123793,4.855875576788065
E01000097,1,5.499938171273171,1.7049571648055857
E01000113,1,1.53611689383944,3.492406699818561
E01034470,1,2.0831773884347813,3.4152640570339265
E01000012,1,1.8381502970694403,2.1180708536747614
E01000017,1,5.407594589707507,0.852571316989147
E01000024,1,4.031489051808081,2.444665508094685
E01000038,1,1.8740932095882805,1.1816552806864642
E01000040,1,4.670536895826393,3.6044739824078804
E01000041,1,3.82825151124393,3.3755005509584692
E01000043,1,3.180953737244835,2.4654945174858645
E01000050,1,2.8618310151798174,2.5567803374172793
E01000058,1,3.817526773473652,1.704876894148858
E01000076,1,5.99523851334897,1.8465410598483403
E01000081,1,3.2467005145317978,2.7418568567646213
E01000082,1,3.5023502552214816,1.8590760476349215
E01000085,1,4.952910819241796,2.837293246524355
E01000086,1,5.191891760948701,1.0883665351655996
E01000025,1,4.399145748508801,2.0581493065750167
E01000028,1,4.805309630368448,1.105164353568061
E01000033,1,5.95052267495711,0.6929918820300486
E01000042,1,5.044400550270516,1.1729901248124084
E01000052,1,3.5891219377203507,3.8064297584841342
E01000055,1,3.8286094176714096,2.1493061492757013
E01000063,1,3.9579143225943545,1.6201877196457726
E01000078,1,5.270609666780743,1.8046186743522323
E01034474,0,-1.1338546111417163,2.3667397892488693
E01000016,1,3.4393047333592053,3.321902368171485
E01000018,1,4.235004092492369,2.51448058839389
E01000044,1,2.8655325916308954,3.6382679036528627
E01000049,1,4.234114196333346,3.1783519566967326
E01000066,1,2.0149164072725507,3.4593441628138195
E01000067,1,1.3132595800670785,2.4814130625944153
E01000101,1,5.247150617398258,0.8212004657706072
E01000108,1,2.1387003820744184,2.489719647755673
E01000110,1,0.1576626904783926,2.8387764451251867
E01000021,1,4.792530566466898,1.7336493919078506
E01000037,1,0.8912347015565646,1.8465774940082404
E01000054,1,3.4872362382819686,2.5127744140159556
E01000059,1,4.901554139756742,0.8432294881853803
E01034471,1,1.7122157378378289,2.6951567040111595
E01000007,1,0.02720234507200101,1.5815710592855634
E01000008,1,3.068990683796746,1.7008529539115733
E01000057,1,4.21155665072103,2.3532764470318255
E01000062,1,2.95533625372999,2.4836917968004255
E01000064,1,4.571729663668592,0.7576659780657314
E01000065,1,5.902846907601003,-0.6685579895462114
E01000099,1,2.1535712736122075,2.379570134842771
E01000104,1,3.359779196310628,1.0483910545741921
E01000106,1,4.400365994818379,1.1132668000649646
E01000114,1,0.9490115855787248,4.218299030991273
E01000019,1,4.134196751109846,2.473492611626653
E01000053,1,4.790506341593803,0.5713698081155533
E01000100,1,4.647591554972552,1.8120507626552795
E01033587,0,-0.5942139266617134,1.6223197318637075
E01034479,1,2.9262171786204885,2.659082894056556
E01000020,1,5.253812930626604,0.6385361683025628
E01000069,1,-0.07710361585770412,3.8931505673612423
E01000075,1,4.497579144670809,2.4307466862750418
E01000088,1,3.412576168163848,2.248326194719887
E01000091,1,4.916105992163437,0.552067439749116
E01000102,1,5.36748259884533,1.5452878621932367
E01000013,1,5.358990492448663,1.8778366441304393
E01000015,1,3.0589676500364638,2.746269348056939
E01000068,1,2.228862884631275,2.2725042513403193
E01000045,1,4.168654287258061,1.9250101008109841
E01000056,1,5.6545451228723,-0.06821663572224554
E01000071,1,0.25729186324336306,2.5757498096378972
E01000079,1,4.259667374383257,2.0776287731549696
E01000105,1,5.8106572184438985,0.03507888736316093
E01000035,1,3.6816735383265926,1.64599710388075
E01000073,1,4.8976973701856235,2.6177486090135225
E01000087,1,3.9069824164538582,3.0869479895645506
E01000098,1,5.522509267345705,0.6208900594498895
E01000032,1,3.4342414080138077,1.1819152282654544
E01000072,1,5.210499638746073,1.6078959715263232
E01000080,1,4.595563827621985,1.615905032815535
E01000093,1,5.588103301564871,0.9070342817778215
E01000111,1,3.3282426875086895,2.3818344520765535
E01000112,1,0.8760556022687446,2.475505888157724
E01000014,1,4.920774054692184,1.804577272413844
E01000029,1,2.542998243182289,1.528658235394422
E01000070,1,1.3737679272900618,1.8407800871008353
E01000061,1,5.890327240413558,-1.6326230436883586
E01000103,1,2.683241961502639,2.3318432602247414
E01000036,1,1.6800944040168786,2.3658594899574927
E01000107,1,3.9824980675317865,1.4098210428762254
E01000096,1,4.088159985591099,1.1353025883925143
E01000030,1,4.441982625372386,0.3694919345872272
E01034475,1,3.9968280250930137,2.778149251949465
E01000031,1,1.1841456620848076,1.307347478624198
E01000094,0,-0.7162142771908441,2.244242800319703
E01000060,1,4.107934613319284,0.9867106918013455
E01000034,1,6.134502670866653,-1.457921715169721
E01000027,1,5.435773334125171,-0.14695056355870395
E01000039,1,1.3439042646548873,0.6625068561039725
E01000090,1,2.9243605827559405,4.387643672820164
E01000095,1,2.291521497507978,1.5370125316876868
E01033918,0,-3.6568156463497004,0.7939667091266347
E01000133,1,4.076070114522384,0.9165363196999357
E01000181,0,-4.526523660535909,-1.525516213823417
E01000185,1,2.2522219863825694,-2.94112595656086
E01000189,0,-1.2110707709473123,0.410657378009362
E01000226,1,3.476107790284749,1.6341705362505312
E01000306,1,-0.13945203953007582,4.744402275450418
E01000312,1,2.21942097172575,1.1926642062694195
E01033916,1,0.02537091462213829,1.870225774757634
E01033923,0,-0.3902193018020038,-0.07835735753668925
E01000126,1,2.0503338795907875,0.745233911205009
E01000134,1,1.4200647712307988,2.4026675950779754
E01000137,1,1.8359689796892664,0.017419979782735025
E01000145,0,-1.2127969472900209,0.9691198944811286
E01000151,1,5.263093625433955,-0.19029651416854096
E01000154,1,1.6601767716509082,0.7324139762894852
E01000165,0,-1.4980377187051463,-0.026303386662830584
E01000217,0,-2.246870493230548,3.3653893139802213
E01000219,1,0.4805505676785104,3.5825302873632974
E01000236,0,-2.1889109253129897,2.1049905329779244
E01000140,0,-1.9777488485258035,-0.46461436124713357
E01000143,1,2.5326213884162265,-0.25364794238995453
E01000147,0,-0.49193550419336124,4.7748966253133815
E01000182,0,-4.091871633461324,-2.6222512233891373
E01000216,0,-2.887436089101821,1.2250053446416973
E01000224,1,0.8778563695399508,2.915642834315088
E01000238,0,-1.4601240228195864,3.4225301648336717
E01000242,0,-1.2193399316121514,0.028636138667726976
E01000277,0,-1.3154908812904422,-1.7278967389566997
E01000295,0,-3.636672350408622,0.24551910367509347
E01000297,0,-2.0645446787137414,1.5336157297793092
