lsoa_code,ics_score_z,rDERI_score_0_10,ics_pct,deri_pct,ics_z,deri_z,ics_rank_desc,deri_rank_desc,ics_high,deri_high,quadrant,overlooked_flag
E01000011,-0.1346652024922016,4.008330120842171,0.43922709328900894,0.6110533970496572,-0.21621670112152444,0.21778270044826645,2700,1873,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000046,0.0964417347775644,3.951556566403512,0.5842509869104509,0.5956783710783295,0.15484559751246704,0.1652651849383161,2002,1947,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000051,-0.545018835382791,4.087554841635313,0.18969457718678578,0.6395179721587367,-0.8750751675614719,0.29106832690170226,3901,1736,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000077,0.50496768353574,4.623069160603564,0.7982547267816331,0.8046956160398919,0.8107695580333703,0.7864377260926972,972,941,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000083,0.7826704060365618,4.330482432482008,0.8890504882609599,0.7205485144400582,1.2566454446052662,0.5157848105925477,535,1346,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01032580,0.1629173207048435,3.757386158251849,0.623935175566175,0.5194265530853938,0.26157793540167906,-0.014349206348319724,1811,2314,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000006,-0.54247212822165,3.1300859521681854,0.19177228339912736,0.2779970912113027,-0.8709862076006658,-0.5946237483974463,3891,3476,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000009,0.4759722651687049,4.747054980149528,0.7859962601288177,0.8327446499065032,0.7642148906736128,0.9011289281039147,1031,806,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000022,0.5014352140588016,4.135808062662541,0.796800332432994,0.6571784749636401,0.8050978708938488,0.335704237208155,979,1651,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000074,0.6738991998048929,3.873794052450248,0.8597548306669437,0.5676293372117183,1.082003807766807,0.09333215074638873,676,2082,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000084,0.7189669210063395,3.9669237668605257,0.8726366091834614,0.5998337835030126,1.1543639559335597,0.17948038066325003,614,1927,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000089,-0.3883708446906409,3.7216550985189145,0.28173696239351753,0.507791398296281,-0.6235631870501475,-0.04740168125965934,3458,2370,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000097,0.7282551904218048,5.814632853423642,0.8753376272595055,0.9609391232079784,1.1692770807421466,1.888675648969004,601,189,0,1,"Q3: Low ICS & High DERI (DERI-flagged, not ICS)",0
E01000113,-0.1986156700018304,3.462956598129808,0.39455640972366507,0.4047371701641388,-0.31889474165624976,-0.28670680564226386,2915,2866,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01034470,-0.1684023819954627,3.698025183153547,0.41367130687720755,0.49761063785580717,-0.2703846786119404,-0.06926017609884254,2823,2419,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000012,-0.5522356686486427,3.682438407873061,0.18616247662580512,0.49158528984001665,-0.8866624213761826,-0.08367848618417403,3918,2448,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000017,0.4087151974206657,4.846339616312016,0.7575316850197382,0.8518595470600457,0.6562278157168872,0.9929706750425695,1168,714,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000024,0.1903253698480373,3.782368464648239,0.6428423020984833,0.5300228547683358,0.3055839433402273,0.008760297303848386,1720,2263,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
