lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.96,,,29.339,0.155,0.1,29.298000000000002,0.263,0.24399999999999997,45.704,29.869,1535,153.05,97.75,100.0,99.0,64.49511400651465,4.18197554453845,23.745519713261647,30.0179211469534,35.93189964157706,35.93189964157706,69.9820788530466
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.94,,,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,1446,158.85999999999999,99.24,100.0,124.0,85.75380359612724,4.463074263354281,23.268482490272373,28.871595330739297,34.70817120622568,34.70817120622568,71.1284046692607
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.946,,,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,1711,138.92000000000002,97.97999999999999,100.0,137.0,80.07013442431327,4.395314637124716,30.687455705173633,28.70304748405386,40.39688164422395,40.39688164422395,71.29695251594615
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.962,,,33.173,0.172,0.10500000000000001,33.867,0.349,0.432,48.606,33.127,1755,158.1,99.84,100.0,80.0,45.58404558404558,3.8412581130687204,25.39797395079595,31.25904486251809,35.89001447178003,35.89001447178003,68.7409551374819
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.953,,,28.075,0.147,0.085,28.946000000000005,0.044,0.574,42.921,33.853,1516,136.525,78.175,89.75,81.0,53.43007915567282,3.9969169267105817,23.934426229508198,33.114754098360656,34.34426229508197,34.34426229508197,66.88524590163934
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.944,0.941,0.947,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,1933,119.55999999999999,81.28,100.0,107.0,55.3543714433523,4.031659814111342,21.08345534407028,37.62811127379209,30.30746705710102,30.30746705710102,62.37188872620791
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.978,,,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809,2022,135.01666666666668,86.38333333333333,86.38333333333333,108.0,53.41246290801187,3.996593225196803,22.844556324732537,31.780994336060413,35.053492762743865,35.053492762743865,68.21900566393958
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.959,,,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02,2047,167.35,99.38333333333333,100.0,108.0,52.760136785539814,3.9845322405855375,30.79754601226994,28.098159509202453,40.920245398773005,40.920245398773005,71.90184049079755
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.956,,,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,1831,157.28,99.4,100.0,72.0,39.32277444019661,3.6969164319165273,22.059800664451828,29.43521594684385,34.48504983388705,34.48504983388705,70.56478405315615
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,1953,159.48000000000002,93.38,100.0,120.0,61.443932411674346,4.134269072710809,24.444444444444443,29.72222222222222,32.84722222222222,32.84722222222222,70.27777777777777
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.953,0.951,0.955,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,1829,149.54000000000002,93.17999999999999,100.0,136.0,74.35757244395845,4.322244416956781,26.10797743755036,28.60596293311845,37.711522965350525,37.711522965350525,71.39403706688155
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.957,,,38.156,0.21799999999999997,0.142,28.502999999999997,0.8900000000000001,0.868,42.757,26.281,1383,168.05,99.6,99.8,88.0,63.629790310918295,4.1686754548152365,25.0,28.66300366300366,36.81318681318682,36.81318681318682,71.33699633699634
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.958,,,36.702,0.219,0.138,25.691000000000003,0.395,0.837,47.02900000000001,28.042,1637,165.12,100.0,100.0,83.0,50.70250458155162,3.945506224858425,28.13793103448276,31.03448275862069,37.24137931034483,37.24137931034483,68.9655172413793
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.936,,,40.078,0.26,0.155,27.699,1.138,-0.11099999999999999,48.625,16.282,1629,129.85999999999999,86.28,100.0,111.0,68.13996316758748,4.236132901771143,24.29837518463811,32.64401772525849,34.26883308714919,34.26883308714919,67.3559822747415
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.942,,,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,1520,153.5,99.825,100.0,92.0,60.526315789473685,4.119464982305628,27.982062780269057,26.547085201793724,38.83408071748879,38.83408071748879,73.45291479820628
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.955,0.953,0.958,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75,1986,110.16,85.42,100.0,133.0,66.96878147029204,4.219048503734144,22.816265060240966,32.98192771084337,33.28313253012048,33.28313253012048,67.01807228915663
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.964,,,33.284,0.188,0.111,27.403,-0.153,0.335,51.774,38.532,2134,112.53333333333335,96.2,100.0,159.0,74.50796626054358,4.324238164073517,25.484439224897244,33.587786259541986,35.34938344098649,35.34938344098649,66.41221374045801
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.965,,,30.897999999999996,0.21100000000000002,0.114,27.142999999999997,0.126,0.047,43.185,29.369,1684,207.21999999999997,100.0,100.0,96.0,57.00712589073635,4.060565863184834,23.400936037441497,28.23712948517941,35.33541341653666,35.33541341653666,71.76287051482059
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.951,,,33.371,0.18100000000000002,0.124,37.624,0.286,0.342,41.885999999999996,35.452,1793,165.64000000000001,100.0,100.0,85.0,47.40658114891244,3.8796357786300226,22.31404958677686,29.75206611570248,32.90758827948911,32.90758827948911,70.24793388429752
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.954,,,35.033,0.228,0.128,33.668,0.035,0.467,44.311,33.091,1826,161.3,94.46000000000001,98.22,106.0,58.050383351588174,4.078391034605163,27.111111111111114,28.22222222222222,38.81481481481481,38.81481481481481,71.77777777777777
E01034474,Barking and Dagenham 015F,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.989,,,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.93200000000001,3195,112.7375,84.7625,94.375,608.0,190.29733959311423,5.253828969361079,13.498789346246973,52.78450363196126,21.246973365617432,21.246973365617432,47.21549636803874
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.951,,,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,1750,136.94,99.47999999999999,99.82000000000001,72.0,41.14285714285714,3.7410652072845063,22.317596566523605,31.187410586552218,32.1173104434907,32.1173104434907,68.81258941344778
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.95,,,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,1791,166.21999999999997,99.86,99.86,70.0,39.08431044109436,3.6909849969294477,24.81536189069424,31.166912850812405,36.70605612998523,36.70605612998523,68.83308714918759
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.958,,,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,1895,129.84,95.46000000000001,100.0,107.0,56.46437994722955,4.051165276668183,22.281167108753316,34.41644562334217,33.48806366047745,33.48806366047745,65.58355437665783
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.961,0.959,0.962,41.172,0.29,0.143,27.852,0.409,0.376,55.298,26.588,1923,114.08,98.84,99.56,117.0,60.84243369734789,4.124589758248448,21.06430155210643,33.11160384331116,34.29416112342942,34.29416112342942,66.88839615668884
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.962,,,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916,2132,139.85999999999999,99.28,100.0,137.0,64.25891181988743,4.178362616491789,21.711899791231733,29.906054279749476,30.167014613778704,30.167014613778704,70.09394572025053
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.974,,,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711,2149,144.64000000000001,99.84,100.0,114.0,53.04792926942764,3.9898712319623746,19.462686567164177,34.44776119402985,29.731343283582092,29.731343283582092,65.55223880597015
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.954,,,40.463,0.254,0.154,28.988,0.464,0.8320000000000001,43.29,37.223,1545,141.28000000000003,94.26,100.0,117.0,75.72815533980582,4.340268724975339,26.661514683153015,28.129829984544045,36.398763523956724,36.398763523956724,71.87017001545595
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,0.956,,,28.166,0.171,0.104,20.596,0.158,0.183,41.045,35.136,1750,140.84,96.2,100.0,153.0,87.42857142857143,4.482195123629283,24.159663865546218,31.512605042016805,35.294117647058826,35.294117647058826,68.4873949579832
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.954,,,17.741,0.11199999999999999,0.078,12.848,-0.002,-0.312,32.872,20.544,1491,144.825,97.45,100.0,73.0,48.96042924211938,3.9112312769362285,20.097244732576986,35.49432739059968,28.93030794165316,28.93030794165316,64.50567260940032
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.941,,,38.888,0.23,0.136,31.637,0.41800000000000004,0.559,45.544000000000004,44.214000000000006,1682,117.66,84.22,97.84,163.0,96.90844233055886,4.584032780042807,23.88663967611336,29.797570850202433,35.060728744939276,35.060728744939276,70.20242914979757
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.938,,,17.988,0.096,0.101,20.287999999999997,-0.504,-0.067,29.715,19.057,1931,148.6,99.62,100.0,99.0,51.26877265665458,3.956399111612239,20.78291814946619,29.964412811387902,34.021352313167256,34.021352313167256,70.0355871886121
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.939,,,29.788,0.18,0.096,26.696999999999996,0.198,0.514,42.507,31.481,1831,161.7,99.72,100.0,87.0,47.51501911523758,3.8818734224839373,24.049707602339183,31.725146198830412,35.38011695906433,35.38011695906433,68.27485380116958
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.945,,,32.331,0.176,0.129,28.14,0.136,0.414,45.241,32.699,1635,153.1,98.1,100.0,97.0,59.32721712538226,4.0997833638466155,25.71428571428571,27.413127413127413,36.21621621621622,36.21621621621622,72.58687258687259
E01034471,Barking and Dagenham 008G,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.956,0.954,0.958,36.877,0.22800000000000004,0.108,22.994,0.033,1.286,45.846,39.968,2791,159.78444443333333,91.26666666666667,100.0,172.0,61.626657112146184,4.13719101992754,18.114797261716692,36.65086887835703,27.64612954186414,27.64612954186414,63.34913112164297
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.972,0.97,0.973,31.576000000000004,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,2101,116.41,70.85000000000001,98.75,577.0,274.6311280342694,5.619063479184865,16.81333950903196,48.49467345993516,24.085224641037517,24.085224641037517,51.50532654006484
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.96,,,37.596,0.265,0.151,25.506,0.25,0.353,45.413000000000004,30.233000000000004,1566,104.425,97.125,97.45,171.0,109.19540229885058,4.702255174422413,20.87649402390438,31.95219123505976,30.996015936254977,30.996015936254977,68.04780876494024
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.953,,,32.887,0.196,0.118,31.462000000000003,0.097,0.644,43.725,30.045999999999996,1557,156.7,99.525,100.0,169.0,108.54206807964033,4.696308658852729,24.673060156931125,31.29904097646033,36.44289450741064,36.44289450741064,68.70095902353967
