lsoa_code,crime_count_window,crime_rate_per_1000_window
E01000011,134.0,80.23952095808383
E01000046,70.0,35.65970453387672
E01000051,166.0,145.1048951048951
E01000077,94.0,63.21452589105582
E01000083,107.0,56.67372881355932
E01032580,183.0,131.27690100430416
E01000006,75.0,36.76470588235294
E01000009,236.0,132.95774647887325
E01000022,80.0,58.309037900874635
E01000074,103.0,63.975155279503106
E01000084,170.0,125.46125461254611
E01000089,125.0,66.52474720596062
E01000097,129.0,71.07438016528926
E01000113,111.0,65.17909571344687
E01034470,70.0,37.41314804917156
E01000012,186.0,91.94265941670785
E01000017,98.0,64.64379947229551
E01000024,99.0,64.49511400651465
E01000038,124.0,85.75380359612724
E01000040,137.0,80.07013442431327
E01000041,80.0,45.58404558404558
E01000043,81.0,53.43007915567282
E01000050,107.0,55.3543714433523
E01000058,108.0,53.41246290801187
E01000076,108.0,52.760136785539814
E01000081,72.0,39.32277444019661
E01000082,120.0,61.443932411674346
E01000085,136.0,74.35757244395845
E01000086,88.0,63.629790310918295
E01000025,83.0,50.70250458155162
E01000028,111.0,68.13996316758748
E01000033,92.0,60.526315789473685
E01000042,133.0,66.96878147029204
E01000052,159.0,74.50796626054358
E01000055,96.0,57.00712589073635
E01000063,85.0,47.40658114891244
E01000078,106.0,58.050383351588174
E01034474,608.0,190.29733959311423
E01000016,72.0,41.14285714285714
E01000018,70.0,39.08431044109436
E01000044,107.0,56.46437994722955
E01000049,117.0,60.84243369734789
E01000066,137.0,64.25891181988743
E01000067,114.0,53.04792926942764
E01000101,117.0,75.72815533980582
E01000108,153.0,87.42857142857143
E01000110,73.0,48.96042924211938
E01000021,163.0,96.90844233055886
E01000037,99.0,51.26877265665458
E01000054,87.0,47.51501911523758
E01000059,97.0,59.32721712538226
E01034471,172.0,61.626657112146184
E01000007,577.0,274.6311280342694
E01000008,171.0,109.19540229885058
E01000057,169.0,108.54206807964033
E01000062,206.0,92.45960502692999
E01000064,164.0,77.83578547698148
E01000065,133.0,78.60520094562648
E01000099,182.0,80.60230292294065
E01000104,155.0,85.58807288790723
E01000106,216.0,100.0463177396943
E01000114,175.0,76.41921397379913
E01000019,106.0,70.76101468624833
E01000053,115.0,68.8622754491018
E01000100,115.0,65.94036697247705
E01033587,620.0,297.2195589645254
E01034479,163.0,46.33314383172257
E01000020,87.0,44.68412942989214
E01000069,69.0,36.66312433581297
E01000075,223.0,125.49240292628025
E01000088,140.0,67.96116504854369
E01000091,113.0,54.30081691494474
E01000102,96.0,66.6204024982651
E01000013,269.0,153.97824842587292
E01000015,148.0,62.394603709949415
E01000068,138.0,90.61063690085358
E01000045,168.0,98.24561403508773
E01000056,269.0,161.46458583433375
E01000071,141.0,55.48996458087367
E01000079,83.0,49.93983152827918
E01000105,406.0,175.45375972342265
E01000035,189.0,105.05836575875486
E01000073,122.0,68.53932584269663
E01000087,230.0,158.94955079474775
E01000098,130.0,71.66482910694597
E01000032,228.0,129.91452991452994
E01000072,198.0,93.75
E01000080,83.0,50.272562083585704
E01000093,147.0,85.51483420593368
E01000111,181.0,90.63595393089635
E01000112,144.0,69.97084548104957
E01000014,140.0,83.88256440982624
E01000029,106.0,61.02475532527346
E01000070,281.0,130.45496750232127
E01000061,285.0,153.72168284789643
E01000103,104.0,69.33333333333333
