lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse,pct_disabled,pct_limited_a_lot,pct_limited_a_little,pct_long_term_not_limited,pct_no_long_term_condition,risk_disability_limited,fuel_poverty_pct,risk_fuel_poverty,rDERI_score_0_10
E01000011,0.0,0.0,0.0,0.0,0.0,0.7078432072165008,,,0.8440017806926038,0.40874537188159277,-0.13612163470440902,0.9486355812103064,0.3509225253038034,0.470709144277053,2.189082495635827,0.9848721626918112,-0.3480764148752702,-0.22279801386793932,0.5531789264192343,0.42480161650309917,-0.10606847906349534,-0.07259409249643389,0.2466065616864007,1.435747531145039,-1.0369116658967616,1.495185532319485,1.495185532319485,1.036911665896762,-1.0486151899081784,-0.1363240176133678,-2.0127864783775564,-1.4138357256682166,1.582367416840345,-1.0486151899081784,2.819791650399541,2.819791650399541,0.21778270044826645
E01000046,0.0,0.0,0.0,0.0,0.0,0.18655511651456103,,,0.7599351848304947,0.4484497037064014,0.5067425852812402,1.5173137348619854,0.8618415609732873,-0.4972996237411013,1.4078816312712323,0.10123680195710562,0.4374109704603292,1.3190281807271087,0.7073717061486722,0.42480161650309917,-0.2912352170041275,-0.34189129570838933,-0.9325638650577448,1.210491279159409,-1.0121185162353907,1.2061797595357961,1.2061797595357961,1.0121185162353918,0.39634084938764536,0.8005550878656342,-0.2796205328137053,-1.4223588268119531,0.2655207434317476,0.39634084938764536,1.6181669434575479,1.6181669434575479,0.1652651849383161
E01000051,0.0,0.0,0.0,0.0,0.0,1.1132894999846763,1.3673251669797652,1.415604432525214,1.4187015877761515,1.2954754493023184,0.9138899246054848,1.5185181361757554,1.1023577643942977,1.0546709554184395,1.4754283025921133,-0.15095422159737598,-1.7582005264333769,-0.5579219552715132,-1.5673747376647045,0.42480161650309917,-0.013485110093179264,0.31924385669592953,1.116358539409173,-0.74734018891136,0.575117823007004,-0.7726537849325187,-0.7726537849325187,-0.575117823007003,-2.1636518572360446,-1.8485275895392417,-1.9761985789288725,-1.8926069864765085,2.8127523400042613,-2.1636518572360446,-0.845006012242442,-0.845006012242442,0.29106832690170226
E01000077,0.0,0.0,0.0,0.0,0.0,-0.21889117625361443,,,1.7941562206057249,1.5204666629762336,1.535325337258279,2.0501609494290105,1.577697480031088,0.4023172204496834,1.2852094850273832,0.539509628579717,-0.8386709251702008,0.794096696580155,0.8277172903277452,0.39455667059638755,-0.22179769027639043,-0.17543847194880005,-0.10189172763260927,1.5225878460097788,-1.3887528312023025,1.2340225126752802,1.2340225126752802,1.3887528312023036,0.29733713065074396,0.5321236137828665,-0.1146871838726364,-1.1966878656909876,0.25640533690731454,0.29733713065074396,1.9272462644032575,1.9272462644032575,0.7864377260926972
E01000083,0.0,0.0,0.0,0.0,0.0,-0.7401792669555542,,,1.1833885399699848,0.7925539128547425,0.9996051539369047,1.405605513009829,1.059662580355065,0.3093743496073604,1.2956802456272762,0.5740374247947336,0.23634764656896415,1.1359423216221953,0.8459840307834976,0.42480161650309917,-0.18418569663219952,-0.21495003796750348,-0.26108712694641634,1.8477416083573337,-1.4560556926616561,1.7211089629213034,1.7211089629213034,1.4560556926616577,1.3472257423595404,0.847590879578617,1.6519474663322142,-1.1662294104374316,-0.7165763872499962,1.3472257423595404,2.059708830522847,2.059708830522847,0.5157848105925477
E01032580,0.0,0.0,0.0,0.0,0.0,0.47615961134897206,,,1.1600774970125873,0.7263800264800615,0.9567475392711947,0.9736269084710317,1.2959092653721525,1.1125410448108293,1.2504096042100907,-0.41842954960970496,-1.0879894467954934,-0.5028681654707351,0.4443843692930635,0.42480161650309917,0.035699804672301154,0.23571188110666963,0.9690186871115382,1.2435741532042124,-1.3003763778379325,1.4912365178686018,1.4912365178686018,1.3003763778379336,0.39080240935849225,0.5562712678627268,0.04805340661405555,-1.1054088834736828,0.1306976310447799,0.39080240935849225,2.3088646096525514,2.3088646096525514,-0.014349206348319724
E01000006,0.0,0.0,0.0,0.0,0.0,0.9974477020509118,,,-0.15103100570149067,-0.25299349186521736,-0.6075553960272185,0.17370370257553552,0.03497816341348193,-0.7094899515131967,1.3907383271517988,-0.209237141608324,0.6438359829887973,0.09952272060522088,-0.2951499906287865,0.42480161650309917,-0.27676906560251563,-0.33521621724107425,-0.8885566764406725,0.684367103839665,-0.835602963610854,0.8476932814361854,0.8476932814361854,0.8356029636108544,-0.6903313526945513,-0.4876232534847531,-0.7724278296390548,-1.734922056224663,1.3966267147415148,-0.6903313526945513,1.3721650349497385,1.3721650349497385,-0.5946237483974463
E01000009,0.0,0.0,0.0,0.0,0.0,-0.33473297418737885,,,1.0426963003885288,0.6734409173803166,0.4638849706155302,0.26553930275048887,1.1920176508766864,1.1178019620283193,1.6933638393918546,-0.05151416849812822,-0.06658776142735916,-0.2717702803767711,0.5644613249360227,0.3907760523580466,0.18904100952938716,0.24586551164264323,0.9877303890248117,1.3616950414902258,-0.9327095534719824,1.4582684743880971,1.4582684743880971,0.9327095534719835,-0.2540193114708416,0.14906121056426677,-0.7404943918690683,-1.9908351548825813,1.1108086192026116,-0.2540193114708416,1.3658572937059488,1.3658572937059488,0.9011289281039147
E01000022,0.0,0.0,0.0,0.0,0.0,-0.5084956710880254,,,1.1866924673182768,0.7793191355798064,1.1067491906011797,1.4095198172795813,1.1535919852413767,0.43563636282711987,1.298965190129204,0.11734977352411312,-1.1469680218036271,0.366949705364233,0.7076403346847859,0.42480161650309917,-0.26230291420090374,-0.20507148307596787,-0.21965372840999128,1.0319392038439297,-1.056582587402953,1.0297505018835094,1.0297505018835094,1.0565825874029533,-0.3918602509502821,0.14124108226959123,-1.01910438032502,-0.7619288717039511,0.6944132550129778,-0.3918602509502821,2.0092469005725273,2.0092469005725273,0.335704237208155
E01000074,0.0,0.0,0.0,0.0,0.0,-0.7981001659224365,,,1.2446029716730707,1.2954754493023184,0.8710323099397748,1.9401589627713618,1.2019798604858407,-0.4429368124937049,1.6203764787396568,-0.5850837126741851,-0.5089270739883622,1.4412988069125576,0.8298663186166575,0.42480161650309917,-0.19575861775348904,-0.1708436713547256,-0.08444176113833891,1.449622048683946,-1.2174182419947386,1.264082972983986,1.264082972983986,1.2174182419947397,0.3348063599229851,0.6200099394877392,-0.15807236245935502,-0.7131260361928456,0.008741969964166624,0.3348063599229851,1.8799382050748323,1.8799382050748323,0.09333215074638873
