cluster,n_lsoa,n_overlooked,overlooked_rate,risk_participation,risk_vulnerability,risk_infra,risk_overall_mean
4,910,155,0.17032967032967034,1.7005191898140999,0.6927415061782657,0.17048274746852335,0.8545811478202964
2,1026,46,0.04483430799220273,0.8665620449419495,-0.39259202670931126,-0.31095985317800834,0.05433672168487665
1,983,29,0.029501525940996948,-0.24752865541018987,0.3707238781959555,-0.13494314099255444,-0.003915972735596278
3,988,26,0.02631578947368421,-0.4017372838860588,0.046871735863405685,0.32379374558308494,-0.010357267479856047
6,6,0,0.0,-0.5744380965928995,4.403547788039715,2.29481563462303,2.0413084420232814
5,900,0,0.0,-1.3433771988668721,-0.738608316940418,-0.04124721964873731,-0.7077442451520092
